,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
0,1.837,1.355,0.323,0.569,1.0,1.0,1.08
1,1.669,1.292,3.144,1.773,2.0,1.0,2.407
2,0.942,0.97,0.403,0.635,3.0,1.0,0.673
3,1.853,1.361,0.116,0.341,4.0,1.0,0.985
4,1.826,1.351,0.554,0.744,5.0,1.0,1.19
5,5.863,2.421,22.222,4.714,7.0,1.0,14.043
6,2.586,1.608,11.012,3.318,8.0,1.0,6.799
7,0.048,0.218,1.048,1.024,9.0,1.0,0.548
8,0.523,0.723,0.008,0.089,11.0,1.0,0.265
9,0.511,0.715,15.863,3.983,12.0,1.0,8.187
10,5.212,2.283,11.199,3.346,13.0,1.0,8.205
11,0.158,0.397,2.637,1.624,14.0,1.0,1.397
12,35.626,5.969,139.105,11.794,15.0,1.0,87.366
13,9.644,3.105,8.841,2.973,1.0,2.0,9.243
14,1.547,1.244,0.78,0.883,2.0,2.0,1.163
15,0.012,0.111,0.581,0.762,3.0,2.0,0.297
16,0.011,0.104,2.418,1.555,4.0,2.0,1.214
17,8.512,2.917,7.752,2.784,5.0,2.0,8.132
18,0.68,0.824,0.306,0.553,7.0,2.0,0.493
19,0.047,0.218,1.515,1.231,8.0,2.0,0.781
20,0.915,0.957,0.001,0.029,9.0,2.0,0.458
21,17.039,4.128,44.006,6.634,11.0,2.0,30.522
22,7.627,2.762,12.385,3.519,12.0,2.0,10.006
23,4.629,2.151,27.42,5.236,13.0,2.0,16.024
24,8.622,2.936,39.912,6.318,14.0,2.0,24.267
25,10.811,3.288,237.664,15.416,15.0,2.0,124.238
26,5.643,2.376,0.01,0.102,1.0,3.0,2.827
27,0.74,0.86,1.39,1.179,2.0,3.0,1.065
28,0.108,0.328,6.528,2.555,3.0,3.0,3.318
29,3.682,1.919,0.666,0.816,4.0,3.0,2.174
30,4.543,2.131,4.896,2.213,5.0,3.0,4.719
31,0.035,0.188,3.848,1.962,7.0,3.0,1.942
32,0.061,0.248,4.452,2.11,8.0,3.0,2.257
33,0.203,0.45,1.144,1.07,9.0,3.0,0.673
34,0.011,0.107,0.101,0.318,11.0,3.0,0.056
35,10.241,3.2,1.702,1.305,12.0,3.0,5.972
36,0.0,0.018,52.474,7.244,13.0,3.0,26.237
37,5.222,2.285,33.925,5.825,14.0,3.0,19.574
38,35.223,5.935,141.653,11.902,15.0,3.0,88.438
39,5.12,2.263,0.182,0.426,1.0,4.0,2.651
40,41.842,6.469,1888.479,43.457,2.0,4.0,965.16
41,0.926,0.962,25.545,5.054,3.0,4.0,13.236
42,5.268,2.295,0.017,0.128,4.0,4.0,2.642
43,1.769,1.33,2.448,1.565,5.0,4.0,2.108
44,0.088,0.297,0.001,0.035,7.0,4.0,0.045
45,2.675,1.636,0.025,0.158,8.0,4.0,1.35
46,0.183,0.427,0.026,0.16,9.0,4.0,0.104
47,2.069,1.438,19.85,4.455,11.0,4.0,10.959
48,3.73,1.931,1.2,1.096,12.0,4.0,2.465
49,6.313,2.513,10.719,3.274,13.0,4.0,8.516
50,32.762,5.724,9.815,3.133,14.0,4.0,21.289
51,19.14,4.375,93.134,9.651,15.0,4.0,56.137
52,5.848,2.418,4.874,2.208,1.0,5.0,5.361
