,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
53,1.912,1.383,13.835,3.719,2.0,5.0,7.874
54,0.005,0.07,1.202,1.096,3.0,5.0,0.603
55,1.435,1.198,2.644,1.626,4.0,5.0,2.04
56,2.02,1.421,12.167,3.488,5.0,5.0,7.094
57,0.384,0.62,0.294,0.542,7.0,5.0,0.339
58,2.384,1.544,3.249,1.803,8.0,5.0,2.817
59,0.007,0.086,4.404,2.099,9.0,5.0,2.206
60,1.079,1.039,45.828,6.77,11.0,5.0,23.453
61,0.023,0.153,4.861,2.205,12.0,5.0,2.442
62,3.604,1.899,0.167,0.408,13.0,5.0,1.886
63,0.105,0.324,7.686,2.772,14.0,5.0,3.896
64,1.422,1.193,0.112,0.334,15.0,5.0,0.767
65,0.016,0.128,1.123,1.06,7.0,6.0,0.57
66,0.219,0.468,2.961,1.721,8.0,6.0,1.59
67,5.089,2.256,5.113,2.261,9.0,6.0,5.101
68,3.607,1.899,12.439,3.527,1.0,7.0,8.023
69,0.069,0.262,2.608,1.615,2.0,7.0,1.338
70,1.248,1.117,1.472,1.213,3.0,7.0,1.36
71,0.878,0.937,1.4,1.183,4.0,7.0,1.139
72,2.36,1.536,0.1,0.316,5.0,7.0,1.23
73,0.063,0.251,0.014,0.117,7.0,7.0,0.038
74,0.163,0.404,1.512,1.23,8.0,7.0,0.838
75,0.596,0.772,3.629,1.905,9.0,7.0,2.113
76,4.048,2.012,0.019,0.137,11.0,7.0,2.033
77,17.441,4.176,344.673,18.565,12.0,7.0,181.057
78,6.862,2.62,2.721,1.65,13.0,7.0,4.792
79,0.019,0.136,11.144,3.338,14.0,7.0,5.581
80,3.253,1.804,20.831,4.564,15.0,7.0,12.042
81,2.772,1.665,61.503,7.842,1.0,8.0,32.137
82,0.272,0.521,31.932,5.651,2.0,8.0,16.102
83,0.022,0.148,3.143,1.773,3.0,8.0,1.583
84,0.561,0.749,0.652,0.808,4.0,8.0,0.607
85,1.795,1.34,2.646,1.627,5.0,8.0,2.22
86,0.134,0.366,0.19,0.435,7.0,8.0,0.162
87,0.051,0.227,9.464,3.076,8.0,8.0,4.758
88,0.975,0.987,0.13,0.361,9.0,8.0,0.553
89,0.511,0.715,0.254,0.504,11.0,8.0,0.383
90,7.882,2.807,85.306,9.236,12.0,8.0,46.594
91,0.515,0.717,47.467,6.89,13.0,8.0,23.991
92,0.804,0.897,109.745,10.476,14.0,8.0,55.274
93,4.509,2.123,22.443,4.737,15.0,8.0,13.476
94,11.826,3.439,0.378,0.615,1.0,9.0,6.102
95,8.307,2.882,0.055,0.234,2.0,9.0,4.181
96,2.617,1.618,5.886,2.426,3.0,9.0,4.252
97,0.446,0.668,0.36,0.6,4.0,9.0,0.403
98,0.042,0.206,9.999,3.162,5.0,9.0,5.02
99,2.135,1.461,5.894,2.428,7.0,9.0,4.015
100,0.005,0.073,0.059,0.244,8.0,9.0,0.032
101,1.005,1.003,0.441,0.664,9.0,9.0,0.723
102,11.148,3.339,65.088,8.068,11.0,9.0,38.118
103,0.004,0.063,6.244,2.499,12.0,9.0,3.124
104,1.069,1.034,76.163,8.727,13.0,9.0,38.616
105,5.497,2.345,5.999,2.449,14.0,9.0,5.748
106,3.981,1.995,7.956,2.821,15.0,9.0,5.969
107,3.874,1.968,0.401,0.633,1.0,10.0,2.137
108,1.057,1.028,1.938,1.392,2.0,10.0,1.497
109,1.026,1.013,9.171,3.028,3.0,10.0,5.098
110,2.547,1.596,1.877,1.37,4.0,10.0,2.212
111,1.997,1.413,0.049,0.22,5.0,10.0,1.023
112,2.195,1.481,6.503,2.55,7.0,10.0,4.349
113,0.739,0.859,6.547,2.559,8.0,10.0,3.643
114,0.115,0.339,4.322,2.079,9.0,10.0,2.218
115,1.693,1.301,36.558,6.046,11.0,10.0,19.126
116,3.206,1.791,15.111,3.887,12.0,10.0,9.158
117,0.537,0.733,0.389,0.624,13.0,10.0,0.463
118,2.641,1.625,96.518,9.824,14.0,10.0,49.579
119,1.536,1.239,2.9,1.703,15.0,10.0,2.218
120,10.897,3.301,0.924,0.961,1.0,11.0,5.911
121,0.464,0.681,3.417,1.849,2.0,11.0,1.941
122,0.674,0.821,4.89,2.211,3.0,11.0,2.782
123,0.124,0.352,3.57,1.89,4.0,11.0,1.847
124,48.397,6.957,6.461,2.542,5.0,11.0,27.429
125,0.016,0.125,1.087,1.043,7.0,11.0,0.551
126,0.006,0.074,0.0,0.009,8.0,11.0,0.003
127,0.204,0.451,2.464,1.57,9.0,11.0,1.334
128,10.401,3.225,55.926,7.478,11.0,11.0,33.163
129,0.642,0.801,0.001,0.031,12.0,11.0,0.321
130,1.059,1.029,16.152,4.019,13.0,11.0,8.606
131,1.584,1.259,24.998,5.0,14.0,11.0,13.291
132,13.448,3.667,170.881,13.072,15.0,11.0,92.165
133,3.554,1.885,4.191,2.047,7.0,12.0,3.873
134,1.505,1.227,7.258,2.694,8.0,12.0,4.382
135,2.603,1.613,0.702,0.838,9.0,12.0,1.652
136,3.018,1.737,13.932,3.733,1.0,13.0,8.475
137,1.749,1.322,19.357,4.4,2.0,13.0,10.553
138,5.876,2.424,119.892,10.95,3.0,13.0,62.884
139,2.128,1.459,83.574,9.142,4.0,13.0,42.851
140,9.971,3.158,37.848,6.152,5.0,13.0,23.91
141,0.999,0.999,0.098,0.312,7.0,13.0,0.548
142,0.004,0.064,3.759,1.939,8.0,13.0,1.882
143,0.93,0.965,0.566,0.753,9.0,13.0,0.748
144,0.419,0.648,48.506,6.965,11.0,13.0,24.463
145,10.686,3.269,13.292,3.646,12.0,13.0,11.989
146,16.129,4.016,178.919,13.376,13.0,13.0,97.524
147,29.018,5.387,62.595,7.912,14.0,13.0,45.806
148,17.688,4.206,83.529,9.139,15.0,13.0,50.609
149,4.486,2.118,0.254,0.504,1.0,14.0,2.37
150,15.207,3.9,1.822,1.35,2.0,14.0,8.515
151,4.628,2.151,0.19,0.436,3.0,14.0,2.409
152,16.233,4.029,0.204,0.452,4.0,14.0,8.219
153,16.783,4.097,0.885,0.941,5.0,14.0,8.834
154,1.319,1.148,4.669,2.161,7.0,14.0,2.994
155,0.915,0.956,7.517,2.742,8.0,14.0,4.216
156,1.948,1.396,15.673,3.959,9.0,14.0,8.81
157,7.021,2.65,17.219,4.15,11.0,14.0,12.12
158,0.535,0.731,13.463,3.669,12.0,14.0,6.999
159,0.9,0.949,53.726,7.33,13.0,14.0,27.313
160,0.002,0.049,100.54,10.027,14.0,14.0,50.271
161,5.459,2.336,44.03,6.636,15.0,14.0,24.745
162,4.887,2.211,21.898,4.68,1.0,15.0,13.393
163,0.608,0.779,0.147,0.383,2.0,15.0,0.377
164,0.052,0.228,0.409,0.639,3.0,15.0,0.23
165,0.429,0.655,0.432,0.657,4.0,15.0,0.431
166,27.829,5.275,1.087,1.043,5.0,15.0,14.458
167,0.062,0.249,12.844,3.584,7.0,15.0,6.453
168,0.001,0.038,2.408,1.552,8.0,15.0,1.205
169,0.242,0.492,7.944,2.818,9.0,15.0,4.093
170,0.069,0.263,12.325,3.511,11.0,15.0,6.197
171,0.411,0.641,5.189,2.278,12.0,15.0,2.8
172,0.243,0.493,5.088,2.256,13.0,15.0,2.666
173,1.768,1.33,7.335,2.708,14.0,15.0,4.551
174,12.114,3.48,9.1,3.017,15.0,15.0,10.607
175,3.03,1.741,17.008,4.124,1.0,16.0,10.019
176,0.354,0.595,2.02,1.421,2.0,16.0,1.187
177,0.273,0.522,1.474,1.214,3.0,16.0,0.874
178,1.276,1.13,2.202,1.484,4.0,16.0,1.739
179,7.263,2.695,5.174,2.275,5.0,16.0,6.219
180,3.494,1.869,3.311,1.82,7.0,16.0,3.403
181,0.215,0.464,7.211,2.685,8.0,16.0,3.713
182,0.142,0.376,0.119,0.345,9.0,16.0,0.13
183,2.975,1.725,3.785,1.945,11.0,16.0,3.38
184,0.585,0.765,1.034,1.017,12.0,16.0,0.809
185,3.373,1.837,40.573,6.37,13.0,16.0,21.973
186,5.081,2.254,2.323,1.524,14.0,16.0,3.702
187,16.883,4.109,0.007,0.081,15.0,16.0,8.445
188,16.795,4.098,0.344,0.586,1.0,17.0,8.569
189,5.271,2.296,2.587,1.608,2.0,17.0,3.929
190,3.9,1.975,15.436,3.929,3.0,17.0,9.668
191,0.463,0.681,0.004,0.06,4.0,17.0,0.234
192,3.275,1.81,6.17,2.484,5.0,17.0,4.723
193,9.889,3.145,2.284,1.511,7.0,17.0,6.086
194,2.063,1.436,2.161,1.47,8.0,17.0,2.112
195,0.001,0.038,1.279,1.131,9.0,17.0,0.64
196,3.606,1.899,6.931,2.633,11.0,17.0,5.269
197,0.606,0.779,0.177,0.421,12.0,17.0,0.391
198,8.017,2.831,9.967,3.157,13.0,17.0,8.992
199,36.39,6.032,3.527,1.878,14.0,17.0,19.959
200,8.892,2.982,4.901,2.214,15.0,17.0,6.897
201,2.277,1.509,0.251,0.501,7.0,18.0,1.264
202,1.297,1.139,1.678,1.295,8.0,18.0,1.487
203,1.01,1.005,0.069,0.263,9.0,18.0,0.54
204,0.301,0.549,8.555,2.925,1.0,19.0,4.428
205,2.096,1.448,11.806,3.436,2.0,19.0,6.951
206,1.267,1.126,3.025,1.739,3.0,19.0,2.146
207,0.0,0.003,20.881,4.57,4.0,19.0,10.441
208,1.161,1.077,25.369,5.037,5.0,19.0,13.265
209,1.697,1.303,0.71,0.843,7.0,19.0,1.203
210,0.351,0.592,31.862,5.645,8.0,19.0,16.106
211,0.046,0.214,0.16,0.4,9.0,19.0,0.103
212,0.364,0.603,30.158,5.492,11.0,19.0,15.261
213,0.707,0.841,8.437,2.905,12.0,19.0,4.572
214,0.305,0.553,20.613,4.54,13.0,19.0,10.459
215,2.019,1.421,49.705,7.05,14.0,19.0,25.862
216,3.984,1.996,18.566,4.309,15.0,19.0,11.275
217,3.504,1.872,1.946,1.395,1.0,20.0,2.725
218,6.411,2.532,16.587,4.073,2.0,20.0,11.499
219,6.851,2.618,0.212,0.461,3.0,20.0,3.532
220,15.677,3.959,0.06,0.244,4.0,20.0,7.868
221,0.328,0.573,23.69,4.867,5.0,20.0,12.009
222,4.341,2.083,0.629,0.793,7.0,20.0,2.485
223,0.509,0.713,0.412,0.642,8.0,20.0,0.46
224,4.011,2.003,0.077,0.278,9.0,20.0,2.044
225,12.566,3.545,11.165,3.341,11.0,20.0,11.866
226,7.041,2.653,13.724,3.705,12.0,20.0,10.382
227,0.9,0.949,23.792,4.878,13.0,20.0,12.346
228,0.948,0.973,14.172,3.765,14.0,20.0,7.56
229,0.267,0.517,20.211,4.496,15.0,20.0,10.239
230,6.149,2.48,0.359,0.6,1.0,21.0,3.254
231,4.001,2.0,2.803,1.674,2.0,21.0,3.402
232,0.158,0.397,1.529,1.237,3.0,21.0,0.843
233,1.327,1.152,28.859,5.372,4.0,21.0,15.093
234,0.004,0.061,0.115,0.339,5.0,21.0,0.059
235,16.686,4.085,48.001,6.928,7.0,21.0,32.343
236,7.52,2.742,45.339,6.733,8.0,21.0,26.43
237,1.085,1.042,21.496,4.636,9.0,21.0,11.291
238,5.412,2.326,0.043,0.207,11.0,21.0,2.728
239,2.663,1.632,28.367,5.326,12.0,21.0,15.515
240,0.019,0.138,13.566,3.683,13.0,21.0,6.793
241,3.317,1.821,0.149,0.386,14.0,21.0,1.733
242,1.366,1.169,2.835,1.684,15.0,21.0,2.101
243,0.695,0.834,5.066,2.251,1.0,22.0,2.88
244,0.117,0.341,0.903,0.95,2.0,22.0,0.51
245,0.001,0.038,0.301,0.548,3.0,22.0,0.151
246,1.975,1.405,0.314,0.561,4.0,22.0,1.144
247,1.633,1.278,10.193,3.193,5.0,22.0,5.913
248,11.003,3.317,5.076,2.253,7.0,22.0,8.039
249,3.211,1.792,4.121,2.03,8.0,22.0,3.666
250,2.569,1.603,14.661,3.829,9.0,22.0,8.615
251,2.66,1.631,12.011,3.466,11.0,22.0,7.335
252,0.155,0.393,9.228,3.038,12.0,22.0,4.691
253,15.241,3.904,17.351,4.165,13.0,22.0,16.296
254,0.109,0.33,0.768,0.877,14.0,22.0,0.439
255,11.325,3.365,3.909,1.977,15.0,22.0,7.617
256,0.212,0.46,27.226,5.218,1.0,23.0,13.719
257,17.121,4.138,17.611,4.197,2.0,23.0,17.366
258,0.893,0.945,0.147,0.383,3.0,23.0,0.52
259,0.183,0.428,0.004,0.061,4.0,23.0,0.093
260,0.648,0.805,21.027,4.585,5.0,23.0,10.837
261,15.201,3.899,150.602,12.272,7.0,23.0,82.901
262,2.497,1.58,49.85,7.06,8.0,23.0,26.173
263,0.004,0.061,4.193,2.048,9.0,23.0,2.098
264,0.779,0.882,25.965,5.096,11.0,23.0,13.372
265,0.755,0.869,61.137,7.819,12.0,23.0,30.946
266,0.366,0.605,21.415,4.628,13.0,23.0,10.89
267,2.923,1.71,1.321,1.149,14.0,23.0,2.122
268,1.275,1.129,17.73,4.211,15.0,23.0,9.502
269,47.282,6.876,2.613,1.616,1.0,25.0,24.947
270,7.714,2.777,1.503,1.226,2.0,25.0,4.608
271,0.089,0.299,22.526,4.746,3.0,25.0,11.308
272,1.291,1.136,1.124,1.06,4.0,25.0,1.207
273,0.0,0.006,0.887,0.942,5.0,25.0,0.443
274,4.118,2.029,0.108,0.328,6.0,25.0,2.113
275,3.503,1.872,49.002,7.0,7.0,25.0,26.252
276,0.016,0.127,0.976,0.988,8.0,25.0,0.496
277,3.185,1.785,40.035,6.327,9.0,25.0,21.61
278,0.79,0.889,9.14,3.023,10.0,25.0,4.965
279,5.236,2.288,0.251,0.501,11.0,25.0,2.743
280,1.626,1.275,0.173,0.416,12.0,25.0,0.899
281,17.481,4.181,11.935,3.455,13.0,25.0,14.708
282,28.423,5.331,1.36,1.166,14.0,25.0,14.892
283,48.162,6.94,0.13,0.36,15.0,25.0,24.146
284,14.895,3.859,3.859,1.964,1.0,26.0,9.377
285,16.269,4.034,5.638,2.374,2.0,26.0,10.954
286,50.352,7.096,0.525,0.724,3.0,26.0,25.438
287,0.126,0.355,0.797,0.893,4.0,26.0,0.462
288,11.939,3.455,38.836,6.232,5.0,26.0,25.388
289,0.057,0.238,2.836,1.684,6.0,26.0,1.446
290,0.351,0.592,36.662,6.055,7.0,26.0,18.506
291,0.0,0.013,68.736,8.291,8.0,26.0,34.368
292,5.672,2.382,37.014,6.084,9.0,26.0,21.343
293,2.123,1.457,0.099,0.315,10.0,26.0,1.111
294,0.07,0.265,16.012,4.002,11.0,26.0,8.041
295,16.963,4.119,1.976,1.406,12.0,26.0,9.47
296,1.573,1.254,0.336,0.579,13.0,26.0,0.954
297,10.246,3.201,79.856,8.936,14.0,26.0,45.051
298,44.452,6.667,2.982,1.727,15.0,26.0,23.717
299,4.359,2.088,2.873,1.695,1.0,27.0,3.616
300,13.802,3.715,43.553,6.599,2.0,27.0,28.677
301,15.908,3.989,1.474,1.214,3.0,27.0,8.691
302,2.659,1.631,4.91,2.216,4.0,27.0,3.784
303,0.292,0.541,9.895,3.146,5.0,27.0,5.094
304,0.202,0.449,0.187,0.432,6.0,27.0,0.194
305,3.065,1.751,13.748,3.708,7.0,27.0,8.407
306,0.129,0.359,100.844,10.042,8.0,27.0,50.486
307,1.822,1.35,60.548,7.781,9.0,27.0,31.185
308,1.232,1.11,0.02,0.142,10.0,27.0,0.626
309,4.744,2.178,9.772,3.126,11.0,27.0,7.258
310,19.029,4.362,0.532,0.729,12.0,27.0,9.78
311,29.461,5.428,9.118,3.02,13.0,27.0,19.29
312,1.118,1.057,12.79,3.576,14.0,27.0,6.954
313,36.402,6.033,0.416,0.645,15.0,27.0,18.409
314,14.581,3.819,7.583,2.754,1.0,28.0,11.082
315,10.363,3.219,0.476,0.69,2.0,28.0,5.42
316,5.707,2.389,13.923,3.731,3.0,28.0,9.815
317,0.003,0.059,23.131,4.809,4.0,28.0,11.567
318,4.73,2.175,4.221,2.055,5.0,28.0,4.476
319,0.903,0.95,3.458,1.86,6.0,28.0,2.18
320,0.004,0.06,2.146,1.465,7.0,28.0,1.075
321,1.271,1.127,35.863,5.989,8.0,28.0,18.567
322,2.787,1.669,34.604,5.883,9.0,28.0,18.695
323,0.525,0.724,24.799,4.98,10.0,28.0,12.662
324,4.125,2.031,3.016,1.737,11.0,28.0,3.57
325,37.383,6.114,50.503,7.107,12.0,28.0,43.943
326,5.011,2.238,9.893,3.145,13.0,28.0,7.452
327,18.179,4.264,1.491,1.221,14.0,28.0,9.835
328,36.376,6.031,36.701,6.058,15.0,28.0,36.539
329,1.169,1.081,2.69,1.64,1.0,29.0,1.929
330,76.55,8.749,2.707,1.645,2.0,29.0,39.628
331,3.583,1.893,11.05,3.324,3.0,29.0,7.317
332,12.778,3.575,1.107,1.052,4.0,29.0,6.943
333,1.219,1.104,14.76,3.842,5.0,29.0,7.99
334,0.0,0.007,2.759,1.661,6.0,29.0,1.379
335,2.501,1.581,3.503,1.872,7.0,29.0,3.002
336,0.741,0.861,17.143,4.14,8.0,29.0,8.942
337,0.097,0.311,28.845,5.371,9.0,29.0,14.471
338,0.359,0.599,5.029,2.242,10.0,29.0,2.694
339,0.297,0.545,85.125,9.226,11.0,29.0,42.711
340,3.402,1.845,30.538,5.526,12.0,29.0,16.97
341,0.469,0.685,13.804,3.715,13.0,29.0,7.137
342,77.936,8.828,0.73,0.854,14.0,29.0,39.333
343,53.446,7.311,48.039,6.931,15.0,29.0,50.742
344,6.694,2.587,89.546,9.463,1.0,30.0,48.12
345,12.563,3.544,85.256,9.233,2.0,30.0,48.91
346,10.515,3.243,9.371,3.061,3.0,30.0,9.943
347,7.483,2.735,49.387,7.028,4.0,30.0,28.435
348,1.899,1.378,27.403,5.235,5.0,30.0,14.651
349,0.067,0.259,30.474,5.52,6.0,30.0,15.271
350,2.082,1.443,57.165,7.561,7.0,30.0,29.624
351,0.003,0.055,75.831,8.708,8.0,30.0,37.917
352,0.063,0.252,107.608,10.373,9.0,30.0,53.836
353,0.429,0.655,91.925,9.588,10.0,30.0,46.177
354,2.776,1.666,73.641,8.581,11.0,30.0,38.208
355,3.793,1.948,41.518,6.443,12.0,30.0,22.656
356,2.462,1.569,20.178,4.492,13.0,30.0,11.32
357,14.735,3.839,64.612,8.038,14.0,30.0,39.673
358,34.159,5.845,76.603,8.752,15.0,30.0,55.381
359,8.028,2.833,88.796,9.423,1.0,31.0,48.412
360,0.91,0.954,18.321,4.28,2.0,31.0,9.616
361,6.694,2.587,42.537,6.522,3.0,31.0,24.616
362,1.864,1.365,32.594,5.709,4.0,31.0,17.229
363,6.088,2.467,166.897,12.919,5.0,31.0,86.492
364,3.681,1.919,6.352,2.52,6.0,31.0,5.017
365,3.704,1.925,129.229,11.368,7.0,31.0,66.466
366,1.402,1.184,89.265,9.448,8.0,31.0,45.334
367,1.474,1.214,24.867,4.987,9.0,31.0,13.17
368,0.441,0.664,141.297,11.887,10.0,31.0,70.869
369,12.55,3.543,91.5,9.566,11.0,31.0,52.025
370,17.244,4.153,27.52,5.246,12.0,31.0,22.382
371,0.483,0.695,161.334,12.702,13.0,31.0,80.909
372,32.436,5.695,89.279,9.449,14.0,31.0,60.857
