,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
105,1.037,1.019,0.494,0.703,14.0,9.0,0.766
106,12.296,3.507,2.503,1.582,15.0,9.0,7.399
107,15.924,3.99,1.721,1.312,1.0,10.0,8.822
108,3.543,1.882,2.389,1.546,2.0,10.0,2.966
109,0.037,0.192,0.422,0.65,3.0,10.0,0.23
110,1.647,1.283,2.801,1.674,4.0,10.0,2.224
111,0.315,0.561,2.123,1.457,5.0,10.0,1.219
112,0.0,0.017,0.099,0.315,7.0,10.0,0.05
113,0.01,0.1,0.0,0.016,8.0,10.0,0.005
114,0.026,0.162,0.483,0.695,9.0,10.0,0.254
115,9.199,3.033,42.699,6.534,11.0,10.0,25.949
116,1.708,1.307,12.309,3.508,12.0,10.0,7.009
117,0.026,0.163,6.431,2.536,13.0,10.0,3.229
118,0.192,0.438,1.659,1.288,14.0,10.0,0.925
119,2.817,1.679,1.895,1.377,15.0,10.0,2.356
120,1.131,1.064,1.515,1.231,1.0,11.0,1.323
121,2.336,1.528,5.062,2.25,2.0,11.0,3.699
122,0.132,0.363,39.151,6.257,3.0,11.0,19.641
123,5.591,2.365,1.528,1.236,4.0,11.0,3.559
124,0.67,0.819,5.885,2.426,5.0,11.0,3.278
125,1.536,1.239,0.007,0.081,7.0,11.0,0.771
126,0.025,0.157,0.64,0.8,8.0,11.0,0.332
127,3.996,1.999,4.134,2.033,9.0,11.0,4.065
128,4.399,2.097,35.617,5.968,11.0,11.0,20.008
129,23.229,4.82,33.199,5.762,12.0,11.0,28.214
130,1.56,1.249,0.415,0.644,13.0,11.0,0.988
131,1.425,1.194,0.257,0.507,14.0,11.0,0.841
132,14.421,3.797,27.197,5.215,15.0,11.0,20.809
133,0.557,0.747,0.597,0.773,7.0,12.0,0.577
134,1.011,1.006,1.223,1.106,8.0,12.0,1.117
135,5.212,2.283,2.648,1.627,9.0,12.0,3.93
136,6.902,2.627,22.381,4.731,1.0,13.0,14.641
137,12.012,3.466,16.575,4.071,2.0,13.0,14.293
138,0.264,0.514,18.054,4.249,3.0,13.0,9.159
139,1.695,1.302,0.929,0.964,4.0,13.0,1.312
140,8.146,2.854,49.931,7.066,5.0,13.0,29.039
141,0.022,0.149,3.895,1.974,7.0,13.0,1.959
142,3.814,1.953,4.286,2.07,8.0,13.0,4.05
143,0.005,0.072,2.314,1.521,9.0,13.0,1.159
144,0.75,0.866,11.11,3.333,11.0,13.0,5.93
145,0.55,0.741,12.675,3.56,12.0,13.0,6.612
146,35.761,5.98,27.599,5.253,13.0,13.0,31.68
147,1.783,1.335,12.028,3.468,14.0,13.0,6.906
148,1.686,1.299,4.048,2.012,15.0,13.0,2.867
149,14.137,3.76,0.057,0.239,1.0,14.0,7.097
150,10.137,3.184,18.006,4.243,2.0,14.0,14.071
151,0.067,0.258,0.0,0.008,3.0,14.0,0.033
152,0.111,0.333,10.899,3.301,4.0,14.0,5.505
