,X_MSE_AV_2,X_MAE_AV_2,Y_MSE_AV_2,Y_MAE_AV_2,x_test_2,y_test_2,dir_2
0,2.41,1.553,10.811,3.288,1.0,1.0,6.611
1,9.597,3.098,0.481,0.694,2.0,1.0,5.039
2,0.102,0.32,0.152,0.389,3.0,1.0,0.127
3,0.23,0.48,41.311,6.427,4.0,1.0,20.77
4,32.281,5.682,4.377,2.092,5.0,1.0,18.329
5,8.866,2.978,6.261,2.502,7.0,1.0,7.564
6,1.218,1.104,6.478,2.545,8.0,1.0,3.848
7,14.251,3.775,13.973,3.738,9.0,1.0,14.112
8,15.939,3.992,0.393,0.627,11.0,1.0,8.166
9,5.861,2.421,10.576,3.252,12.0,1.0,8.219
10,35.237,5.936,29.48,5.43,13.0,1.0,32.358
11,0.926,0.963,381.363,19.529,14.0,1.0,191.145
12,11.109,3.333,21.967,4.687,15.0,1.0,16.538
13,30.052,5.482,1.777,1.333,1.0,2.0,15.914
14,23.931,4.892,4.037,2.009,2.0,2.0,13.984
15,2.739,1.655,0.803,0.896,3.0,2.0,1.771
16,5.756,2.399,22.096,4.701,4.0,2.0,13.926
17,10.624,3.259,0.039,0.198,5.0,2.0,5.332
18,0.048,0.22,0.0,0.002,7.0,2.0,0.024
19,0.082,0.286,0.364,0.603,8.0,2.0,0.223
20,2.645,1.626,7.127,2.67,9.0,2.0,4.886
21,2.297,1.515,5.079,2.254,11.0,2.0,3.688
22,17.145,4.141,3.333,1.826,12.0,2.0,10.239
23,2.769,1.664,14.19,3.767,13.0,2.0,8.479
24,0.371,0.609,3.108,1.763,14.0,2.0,1.739
25,7.283,2.699,5.756,2.399,15.0,2.0,6.52
26,4.484,2.117,3.159,1.777,1.0,3.0,3.821
27,0.408,0.639,0.089,0.298,2.0,3.0,0.248
28,1.065,1.032,1.583,1.258,3.0,3.0,1.324
29,16.733,4.091,4.231,2.057,4.0,3.0,10.482
30,9.047,3.008,1.113,1.055,5.0,3.0,5.08
31,0.141,0.375,0.0,0.021,7.0,3.0,0.07
32,0.84,0.916,4.21,2.052,8.0,3.0,2.525
33,0.404,0.635,0.352,0.593,9.0,3.0,0.378
34,0.705,0.839,5.651,2.377,11.0,3.0,3.178
35,1.448,1.203,1.155,1.075,12.0,3.0,1.302
36,0.093,0.306,2.086,1.444,13.0,3.0,1.09
37,1.009,1.005,2.071,1.439,14.0,3.0,1.54
38,1.939,1.393,0.006,0.079,15.0,3.0,0.973
39,28.717,5.359,79.86,8.936,1.0,4.0,54.288
40,41.852,6.469,344.117,18.55,2.0,4.0,192.984
41,0.405,0.636,20.117,4.485,3.0,4.0,10.261
42,19.221,4.384,7.41,2.722,4.0,4.0,13.316
43,10.03,3.167,0.511,0.715,5.0,4.0,5.27
44,0.329,0.574,1.821,1.349,7.0,4.0,1.075
45,3.554,1.885,0.201,0.448,8.0,4.0,1.877
46,2.407,1.551,2.192,1.481,9.0,4.0,2.3
47,8.892,2.982,9.777,3.127,11.0,4.0,9.334
48,3.075,1.754,0.104,0.322,12.0,4.0,1.589
49,7.029,2.651,1.014,1.007,13.0,4.0,4.021
50,19.635,4.431,51.114,7.149,14.0,4.0,35.375
51,0.917,0.958,59.769,7.731,15.0,4.0,30.343
52,8.576,2.928,4.975,2.231,1.0,5.0,6.775
53,179.569,13.4,1772.199,42.097,2.0,5.0,975.884
54,0.029,0.169,19.938,4.465,3.0,5.0,9.984
55,1.244,1.115,4.716,2.172,4.0,5.0,2.98
56,6.346,2.519,10.617,3.258,5.0,5.0,8.481
57,0.229,0.478,0.66,0.812,7.0,5.0,0.444
58,0.514,0.717,0.033,0.182,8.0,5.0,0.274
59,2.698,1.643,5.601,2.367,9.0,5.0,4.149
60,10.837,3.292,1.325,1.151,11.0,5.0,6.081
61,0.655,0.809,30.007,5.478,12.0,5.0,15.331
62,0.214,0.463,29.278,5.411,13.0,5.0,14.746
63,38.976,6.243,19.412,4.406,14.0,5.0,29.194
64,0.677,0.823,1.079,1.039,15.0,5.0,0.878
65,0.996,0.998,2.729,1.652,7.0,6.0,1.862
66,0.756,0.869,1.095,1.047,8.0,6.0,0.926
67,3.032,1.741,0.214,0.462,9.0,6.0,1.623
68,3.888,1.972,4.158,2.039,1.0,7.0,4.023
69,3.008,1.734,126.01,11.225,2.0,7.0,64.509
70,36.608,6.05,50.891,7.134,3.0,7.0,43.75
71,0.976,0.988,0.008,0.088,4.0,7.0,0.492
72,1.002,1.001,27.57,5.251,5.0,7.0,14.286
73,0.571,0.756,1.44,1.2,7.0,7.0,1.006
74,0.634,0.796,0.045,0.213,8.0,7.0,0.34
75,2.627,1.621,2.763,1.662,9.0,7.0,2.695
76,3.253,1.804,7.296,2.701,11.0,7.0,5.274
77,0.046,0.215,37.016,6.084,12.0,7.0,18.531
78,14.844,3.853,138.806,11.782,13.0,7.0,76.825
79,8.007,2.83,0.872,0.934,14.0,7.0,4.44
80,0.0,0.016,1.103,1.05,15.0,7.0,0.551
81,26.365,5.135,59.842,7.736,1.0,8.0,43.104
82,1.008,1.004,3.682,1.919,2.0,8.0,2.345
83,0.008,0.09,0.371,0.609,3.0,8.0,0.19
84,92.402,9.613,4.897,2.213,4.0,8.0,48.649
85,3.328,1.824,0.826,0.909,5.0,8.0,2.077
86,0.306,0.554,0.319,0.565,7.0,8.0,0.313
87,0.896,0.946,0.254,0.504,8.0,8.0,0.575
88,0.157,0.396,0.34,0.583,9.0,8.0,0.248
89,0.623,0.789,0.038,0.194,11.0,8.0,0.331
90,3.89,1.972,0.644,0.803,12.0,8.0,2.267
91,10.525,3.244,45.206,6.724,13.0,8.0,27.866
92,4.981,2.232,4.16,2.04,14.0,8.0,4.571
93,7.498,2.738,25.884,5.088,15.0,8.0,16.691
94,7.843,2.801,5.552,2.356,1.0,9.0,6.698
95,23.394,4.837,0.453,0.673,2.0,9.0,11.923
96,10.292,3.208,0.022,0.149,3.0,9.0,5.157
97,0.642,0.801,1.478,1.216,4.0,9.0,1.06
98,0.604,0.777,2.522,1.588,5.0,9.0,1.563
99,3.0,1.732,1.283,1.133,7.0,9.0,2.142
100,1.169,1.081,0.49,0.7,8.0,9.0,0.829
101,3.55,1.884,4.793,2.189,9.0,9.0,4.171
102,0.054,0.232,0.08,0.282,11.0,9.0,0.067
103,3.071,1.752,6.734,2.595,12.0,9.0,4.903
104,1.415,1.189,3.658,1.913,13.0,9.0,2.536
105,0.368,0.606,14.427,3.798,14.0,9.0,7.397
106,36.763,6.063,0.969,0.984,15.0,9.0,18.866
107,13.929,3.732,20.705,4.55,1.0,10.0,17.317
108,10.991,3.315,1.745,1.321,2.0,10.0,6.368
109,5.399,2.324,5.355,2.314,3.0,10.0,5.377
110,7.434,2.727,17.396,4.171,4.0,10.0,12.415
111,0.132,0.364,3.219,1.794,5.0,10.0,1.676
112,4.121,2.03,0.536,0.732,7.0,10.0,2.328
113,1.485,1.218,4.481,2.117,8.0,10.0,2.983
114,1.128,1.062,0.285,0.534,9.0,10.0,0.706
115,3.163,1.779,22.94,4.79,11.0,10.0,13.052
116,7.728,2.78,83.43,9.134,12.0,10.0,45.579
117,1.526,1.235,2.991,1.73,13.0,10.0,2.259
118,4.595,2.144,0.025,0.157,14.0,10.0,2.31
119,8.011,2.83,59.165,7.692,15.0,10.0,33.588
120,26.153,5.114,43.63,6.605,1.0,11.0,34.891
121,6.493,2.548,1.606,1.267,2.0,11.0,4.05
122,29.951,5.473,37.955,6.161,3.0,11.0,33.953
123,1.019,1.009,8.976,2.996,4.0,11.0,4.998
124,0.23,0.48,0.925,0.962,5.0,11.0,0.578
125,0.599,0.774,0.554,0.744,7.0,11.0,0.576
126,0.442,0.665,3.858,1.964,8.0,11.0,2.15
127,0.579,0.761,0.129,0.359,9.0,11.0,0.354
128,10.894,3.301,7.345,2.71,11.0,11.0,9.119
129,2.011,1.418,0.697,0.835,12.0,11.0,1.354
130,12.904,3.592,8.653,2.942,13.0,11.0,10.778
