,X_MSE_AV_2,X_MAE_AV_2,Y_MSE_AV_2,Y_MAE_AV_2,x_test_2,y_test_2,dir_2
131,6.62,2.573,0.065,0.254,14.0,11.0,3.342
132,4.179,2.044,3.619,1.902,15.0,11.0,3.899
133,2.411,1.553,0.697,0.835,7.0,12.0,1.554
134,1.514,1.231,3.445,1.856,8.0,12.0,2.48
135,3.833,1.958,2.306,1.519,9.0,12.0,3.07
136,8.16,2.856,28.003,5.292,1.0,13.0,18.081
137,17.969,4.239,143.455,11.977,2.0,13.0,80.712
138,2.712,1.647,189.083,13.751,3.0,13.0,95.898
139,0.096,0.31,0.908,0.953,4.0,13.0,0.502
140,0.551,0.742,11.852,3.443,5.0,13.0,6.202
141,0.576,0.759,30.655,5.537,7.0,13.0,15.616
142,3.229,1.797,0.719,0.848,8.0,13.0,1.974
143,0.492,0.702,2.829,1.682,9.0,13.0,1.66
144,7.912,2.813,16.045,4.006,11.0,13.0,11.979
145,46.801,6.841,1.64,1.281,12.0,13.0,24.22
146,0.016,0.126,14.711,3.836,13.0,13.0,7.364
147,7.64,2.764,33.18,5.76,14.0,13.0,20.41
148,141.886,11.912,3.659,1.913,15.0,13.0,72.772
149,3.846,1.961,11.308,3.363,1.0,14.0,7.577
150,0.317,0.563,39.515,6.286,2.0,14.0,19.916
151,40.93,6.398,30.03,5.48,3.0,14.0,35.48
152,1.056,1.028,1.728,1.315,4.0,14.0,1.392
153,24.952,4.995,8.368,2.893,5.0,14.0,16.66
154,0.765,0.875,5.804,2.409,7.0,14.0,3.284
155,0.756,0.869,0.004,0.061,8.0,14.0,0.38
156,0.442,0.665,2.636,1.624,9.0,14.0,1.539
157,0.682,0.826,10.399,3.225,11.0,14.0,5.54
158,14.18,3.766,10.393,3.224,12.0,14.0,12.286
159,4.02,2.005,0.067,0.258,13.0,14.0,2.044
160,22.432,4.736,25.706,5.07,14.0,14.0,24.069
161,1.89,1.375,85.393,9.241,15.0,14.0,43.642
162,28.762,5.363,13.359,3.655,1.0,15.0,21.061
163,13.951,3.735,1.476,1.215,2.0,15.0,7.714
164,6.864,2.62,3.652,1.911,3.0,15.0,5.258
165,0.003,0.057,0.017,0.13,4.0,15.0,0.01
166,1.127,1.062,8.858,2.976,5.0,15.0,4.992
167,1.11,1.053,37.322,6.109,7.0,15.0,19.216
168,0.032,0.179,0.517,0.719,8.0,15.0,0.275
169,0.219,0.468,6.474,2.544,9.0,15.0,3.347
170,5.934,2.436,3.419,1.849,11.0,15.0,4.676
171,0.125,0.354,6.419,2.534,12.0,15.0,3.272
172,16.171,4.021,2.531,1.591,13.0,15.0,9.351
173,7.054,2.656,201.954,14.211,14.0,15.0,104.504
174,44.105,6.641,12.034,3.469,15.0,15.0,28.069
175,1.244,1.115,51.229,7.157,1.0,16.0,26.236
176,1.842,1.357,0.0,0.016,2.0,16.0,0.921
177,0.726,0.852,1.752,1.324,3.0,16.0,1.239
178,0.527,0.726,10.375,3.221,4.0,16.0,5.451
179,21.989,4.689,0.061,0.246,5.0,16.0,11.025
180,1.566,1.251,2.619,1.618,7.0,16.0,2.093
181,0.625,0.79,21.693,4.658,8.0,16.0,11.159
182,4.454,2.11,3.837,1.959,9.0,16.0,4.145
183,39.412,6.278,4.368,2.09,11.0,16.0,21.89
184,6.339,2.518,17.257,4.154,12.0,16.0,11.798
185,13.402,3.661,54.587,7.388,13.0,16.0,33.994
186,2.116,1.455,9.514,3.084,14.0,16.0,5.815
187,9.386,3.064,214.478,14.645,15.0,16.0,111.932
188,6.98,2.642,11.952,3.457,1.0,17.0,9.466
189,5.764,2.401,3.953,1.988,2.0,17.0,4.859
190,15.805,3.976,7.015,2.649,3.0,17.0,11.41
191,0.002,0.041,15.768,3.971,4.0,17.0,7.885
192,5.085,2.255,6.069,2.464,5.0,17.0,5.577
193,2.998,1.732,5.475,2.34,7.0,17.0,4.237
194,0.421,0.649,8.954,2.992,8.0,17.0,4.688
195,0.716,0.846,2.268,1.506,9.0,17.0,1.492
196,42.718,6.536,12.394,3.521,11.0,17.0,27.556
197,16.912,4.112,18.217,4.268,12.0,17.0,17.565
198,4.492,2.119,20.208,4.495,13.0,17.0,12.35
199,2.094,1.447,9.818,3.133,14.0,17.0,5.956
200,32.438,5.695,0.513,0.716,15.0,17.0,16.475
201,0.074,0.272,0.059,0.243,7.0,18.0,0.067
202,1.174,1.083,2.066,1.438,8.0,18.0,1.62
203,1.179,1.086,0.146,0.381,9.0,18.0,0.662
204,21.81,4.67,18.531,4.305,1.0,19.0,20.171
205,1.193,1.092,0.114,0.338,2.0,19.0,0.654
206,11.645,3.412,33.933,5.825,3.0,19.0,22.789
207,0.017,0.129,32.387,5.691,4.0,19.0,16.202
208,1.003,1.002,2.347,1.532,5.0,19.0,1.675
209,0.686,0.828,0.103,0.321,7.0,19.0,0.395
210,0.018,0.135,12.174,3.489,8.0,19.0,6.096
211,1.614,1.27,4.679,2.163,9.0,19.0,3.147
212,28.134,5.304,31.182,5.584,11.0,19.0,29.658
213,0.596,0.772,0.157,0.397,12.0,19.0,0.377
214,4.55,2.133,9.695,3.114,13.0,19.0,7.122
215,13.268,3.642,0.03,0.172,14.0,19.0,6.649
216,43.234,6.575,28.026,5.294,15.0,19.0,35.63
217,2.747,1.657,3.491,1.868,1.0,20.0,3.119
218,12.881,3.589,0.448,0.669,2.0,20.0,6.664
219,4.988,2.233,12.829,3.582,3.0,20.0,8.908
220,2.284,1.511,30.395,5.513,4.0,20.0,16.339
221,3.815,1.953,0.127,0.357,5.0,20.0,1.971
222,0.065,0.256,54.202,7.362,7.0,20.0,27.134
223,0.013,0.112,3.466,1.862,8.0,20.0,1.739
224,0.529,0.727,0.177,0.421,9.0,20.0,0.353
225,11.708,3.422,5.345,2.312,11.0,20.0,8.527
226,30.558,5.528,0.0,0.002,12.0,20.0,15.279
227,71.554,8.459,0.043,0.206,13.0,20.0,35.798
228,3.41,1.847,22.518,4.745,14.0,20.0,12.964
229,40.143,6.336,1.709,1.307,15.0,20.0,20.926
230,22.038,4.694,2.767,1.663,1.0,21.0,12.403
231,23.17,4.813,5.779,2.404,2.0,21.0,14.474
232,10.255,3.202,30.247,5.5,3.0,21.0,20.251
233,3.399,1.844,0.834,0.913,4.0,21.0,2.117
234,4.549,2.133,2.442,1.563,5.0,21.0,3.496
235,3.137,1.771,9.709,3.116,7.0,21.0,6.423
236,0.158,0.398,0.276,0.525,8.0,21.0,0.217
237,0.075,0.273,0.0,0.0,9.0,21.0,0.037
238,0.487,0.698,81.051,9.003,11.0,21.0,40.769
239,1.876,1.37,11.773,3.431,12.0,21.0,6.824
240,0.01,0.099,1.45,1.204,13.0,21.0,0.73
241,17.163,4.143,1.902,1.379,14.0,21.0,9.533
242,4.966,2.229,2.168,1.472,15.0,21.0,3.567
243,2.354,1.534,2.014,1.419,1.0,22.0,2.184
244,19.099,4.37,7.547,2.747,2.0,22.0,13.323
245,4.329,2.081,0.749,0.865,3.0,22.0,2.539
246,1.866,1.366,2.151,1.467,4.0,22.0,2.009
247,0.856,0.925,4.612,2.147,5.0,22.0,2.734
248,0.526,0.725,8.769,2.961,7.0,22.0,4.647
249,0.84,0.916,3.758,1.939,8.0,22.0,2.299
250,0.326,0.571,6.202,2.49,9.0,22.0,3.264
251,0.027,0.165,6.779,2.604,11.0,22.0,3.403
252,0.519,0.72,18.986,4.357,12.0,22.0,9.753
253,0.014,0.119,19.162,4.377,13.0,22.0,9.588
254,42.756,6.539,4.146,2.036,14.0,22.0,23.451
255,36.59,6.049,0.193,0.439,15.0,22.0,18.391
256,6.191,2.488,27.9,5.282,1.0,23.0,17.046
257,5.55,2.356,18.069,4.251,2.0,23.0,11.809
258,0.595,0.771,6.113,2.472,3.0,23.0,3.354
259,3.452,1.858,11.251,3.354,4.0,23.0,7.352
260,8.902,2.984,0.591,0.769,5.0,23.0,4.746
261,3.395,1.843,6.27,2.504,7.0,23.0,4.833
262,0.791,0.89,82.416,9.078,8.0,23.0,41.604
263,0.387,0.622,0.591,0.769,9.0,23.0,0.489
264,21.102,4.594,0.029,0.171,11.0,23.0,10.565
265,3.449,1.857,2.224,1.491,12.0,23.0,2.836
266,0.804,0.896,3.327,1.824,13.0,23.0,2.065
267,32.821,5.729,15.554,3.944,14.0,23.0,24.187
268,0.398,0.631,16.433,4.054,15.0,23.0,8.415
269,0.032,0.179,3.254,1.804,1.0,25.0,1.643
270,65.953,8.121,4.247,2.061,2.0,25.0,35.1
271,7.263,2.695,18.034,4.247,3.0,25.0,12.649
272,0.119,0.345,0.219,0.468,4.0,25.0,0.169
273,15.911,3.989,11.064,3.326,5.0,25.0,13.488
274,0.259,0.509,3.799,1.949,6.0,25.0,2.029
275,0.267,0.517,22.035,4.694,7.0,25.0,11.151
276,4.611,2.147,42.345,6.507,8.0,25.0,23.478
277,0.584,0.764,41.806,6.466,9.0,25.0,21.195
278,0.429,0.655,43.223,6.574,10.0,25.0,21.826
279,7.056,2.656,58.627,7.657,11.0,25.0,32.842
280,3.238,1.8,0.4,0.633,12.0,25.0,1.819
281,0.012,0.11,30.747,5.545,13.0,25.0,15.38
282,59.428,7.709,0.537,0.733,14.0,25.0,29.982
283,0.948,0.973,95.392,9.767,15.0,25.0,48.17
284,0.73,0.854,4.964,2.228,1.0,26.0,2.847
285,5.43,2.33,0.259,0.509,2.0,26.0,2.844
286,0.779,0.883,32.987,5.743,3.0,26.0,16.883
287,9.332,3.055,5.811,2.411,4.0,26.0,7.571
288,46.337,6.807,57.32,7.571,5.0,26.0,51.828
289,0.107,0.328,0.201,0.449,6.0,26.0,0.154
290,2.41,1.552,36.672,6.056,7.0,26.0,19.541
291,0.013,0.114,0.637,0.798,8.0,26.0,0.325
292,1.009,1.004,36.711,6.059,9.0,26.0,18.86
293,10.954,3.31,4.782,2.187,10.0,26.0,7.868
294,7.724,2.779,74.61,8.638,11.0,26.0,41.167
295,10.256,3.203,29.853,5.464,12.0,26.0,20.054
296,1.926,1.388,0.451,0.672,13.0,26.0,1.189
297,14.536,3.813,6.578,2.565,14.0,26.0,10.557
298,0.247,0.497,13.431,3.665,15.0,26.0,6.839
299,44.344,6.659,1.283,1.133,1.0,27.0,22.814
300,3.056,1.748,10.199,3.194,2.0,27.0,6.628
301,1.352,1.163,12.708,3.565,3.0,27.0,7.03
302,1.159,1.077,25.168,5.017,4.0,27.0,13.164
303,12.339,3.513,0.001,0.034,5.0,27.0,6.17
304,21.47,4.634,33.928,5.825,6.0,27.0,27.699
305,4.982,2.232,0.202,0.449,7.0,27.0,2.592
306,2.978,1.726,2.797,1.672,8.0,27.0,2.888
307,5.337,2.31,41.556,6.446,9.0,27.0,23.446
308,0.195,0.441,0.684,0.827,10.0,27.0,0.439
309,0.558,0.747,175.02,13.229,11.0,27.0,87.789
310,5.016,2.24,25.452,5.045,12.0,27.0,15.234
311,50.261,7.09,28.739,5.361,13.0,27.0,39.5
312,37.602,6.132,59.03,7.683,14.0,27.0,48.316
313,3.433,1.853,11.454,3.384,15.0,27.0,7.443
314,5.191,2.278,1.535,1.239,1.0,28.0,3.363
315,0.005,0.068,40.033,6.327,2.0,28.0,20.019
316,0.942,0.971,1.471,1.213,3.0,28.0,1.207
317,0.085,0.291,11.028,3.321,4.0,28.0,5.557
318,0.067,0.259,30.515,5.524,5.0,28.0,15.291
319,1.836,1.355,80.381,8.966,6.0,28.0,41.108
320,0.09,0.301,30.572,5.529,7.0,28.0,15.331
321,0.148,0.385,0.88,0.938,8.0,28.0,0.514
322,0.001,0.027,0.123,0.351,9.0,28.0,0.062
323,0.062,0.25,5.913,2.432,10.0,28.0,2.988
324,0.175,0.418,122.696,11.077,11.0,28.0,61.436
325,5.367,2.317,38.044,6.168,12.0,28.0,21.706
326,7.625,2.761,80.924,8.996,13.0,28.0,44.274
327,27.526,5.247,19.557,4.422,14.0,28.0,23.542
328,36.626,6.052,43.548,6.599,15.0,28.0,40.087
329,45.809,6.768,40.039,6.328,1.0,29.0,42.924
330,2.865,1.693,12.388,3.52,2.0,29.0,7.627
331,1.21,1.1,9.568,3.093,3.0,29.0,5.389
332,12.892,3.59,64.447,8.028,4.0,29.0,38.669
333,1.365,1.168,130.034,11.403,5.0,29.0,65.7
334,2.591,1.61,52.099,7.218,6.0,29.0,27.345
335,1.644,1.282,39.386,6.276,7.0,29.0,20.515
336,1.224,1.107,9.934,3.152,8.0,29.0,5.579
337,1.478,1.216,7.423,2.725,9.0,29.0,4.451
338,0.827,0.909,9.39,3.064,10.0,29.0,5.109
339,9.241,3.04,253.662,15.927,11.0,29.0,131.451
340,0.012,0.109,42.461,6.516,12.0,29.0,21.236
341,0.009,0.092,32.094,5.665,13.0,29.0,16.051
342,1.871,1.368,96.977,9.848,14.0,29.0,49.424
343,66.697,8.167,53.282,7.299,15.0,29.0,59.989
344,0.256,0.506,86.394,9.295,1.0,30.0,43.325
345,22.947,4.79,49.522,7.037,2.0,30.0,36.234
346,1.451,1.205,26.176,5.116,3.0,30.0,13.814
347,0.402,0.634,106.057,10.298,4.0,30.0,53.229
348,0.035,0.186,54.406,7.376,5.0,30.0,27.22
349,8.856,2.976,52.974,7.278,6.0,30.0,30.915
350,0.001,0.038,102.051,10.102,7.0,30.0,51.026
351,3.666,1.915,221.68,14.889,8.0,30.0,112.673
352,0.016,0.128,80.231,8.957,9.0,30.0,40.124
353,0.299,0.547,91.503,9.566,10.0,30.0,45.901
354,0.302,0.55,94.48,9.72,11.0,30.0,47.391
355,25.197,5.02,25.449,5.045,12.0,30.0,25.323
356,70.902,8.42,63.495,7.968,13.0,30.0,67.199
357,0.036,0.189,0.891,0.944,14.0,30.0,0.463
358,30.347,5.509,22.851,4.78,15.0,30.0,26.599
359,0.208,0.456,143.577,11.982,1.0,31.0,71.892
360,0.035,0.186,42.18,6.495,2.0,31.0,21.107
361,6.203,2.491,119.805,10.946,3.0,31.0,63.004
362,0.551,0.742,97.494,9.874,4.0,31.0,49.023
363,1.167,1.08,133.655,11.561,5.0,31.0,67.411
364,0.102,0.32,23.419,4.839,6.0,31.0,11.761
365,12.135,3.484,268.386,16.382,7.0,31.0,140.261
366,0.269,0.519,138.835,11.783,8.0,31.0,69.552
367,2.067,1.438,95.114,9.753,9.0,31.0,48.591
368,3.601,1.898,118.386,10.881,10.0,31.0,60.993
369,9.636,3.104,134.184,11.584,11.0,31.0,71.91
370,7.969,2.823,162.466,12.746,12.0,31.0,85.217
371,51.794,7.197,26.351,5.133,13.0,31.0,39.072
372,13.236,3.638,141.31,11.887,14.0,31.0,77.273
