,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
0,4.099,2.025,0.006,0.078,1.0,1.0,2.053
1,0.089,0.298,0.041,0.202,2.0,1.0,0.065
2,0.925,0.962,12.772,3.574,3.0,1.0,6.849
3,1.241,1.114,47.91,6.922,4.0,1.0,24.576
4,1.595,1.263,0.048,0.22,5.0,1.0,0.822
5,1.77,1.33,5.442,2.333,7.0,1.0,3.606
6,0.539,0.734,5.921,2.433,8.0,1.0,3.23
7,2.643,1.626,1.885,1.373,9.0,1.0,2.264
8,0.544,0.738,0.089,0.298,11.0,1.0,0.316
9,4.649,2.156,6.99,2.644,12.0,1.0,5.819
10,0.778,0.882,50.259,7.089,13.0,1.0,25.519
11,0.017,0.132,461.253,21.477,14.0,1.0,230.635
12,32.128,5.668,91.444,9.563,15.0,1.0,61.786
13,7.781,2.789,0.746,0.863,1.0,2.0,4.263
14,0.747,0.865,0.062,0.25,2.0,2.0,0.405
15,1.162,1.078,7.539,2.746,3.0,2.0,4.351
16,0.047,0.216,1.412,1.188,4.0,2.0,0.73
17,5.949,2.439,0.629,0.793,5.0,2.0,3.289
18,1.39,1.179,0.541,0.736,7.0,2.0,0.966
19,0.003,0.051,0.035,0.187,8.0,2.0,0.019
20,0.316,0.562,0.909,0.954,9.0,2.0,0.613
21,9.471,3.077,0.408,0.639,11.0,2.0,4.94
22,5.466,2.338,3.504,1.872,12.0,2.0,4.485
23,0.02,0.142,0.937,0.968,13.0,2.0,0.479
24,0.77,0.877,0.46,0.679,14.0,2.0,0.615
25,40.261,6.345,7.697,2.774,15.0,2.0,23.979
26,3.355,1.832,1.879,1.371,1.0,3.0,2.617
27,0.016,0.128,2.653,1.629,2.0,3.0,1.335
28,0.031,0.175,5.714,2.39,3.0,3.0,2.872
29,3.802,1.95,10.818,3.289,4.0,3.0,7.31
30,5.785,2.405,4.701,2.168,5.0,3.0,5.243
31,1.977,1.406,1.412,1.188,7.0,3.0,1.695
32,1.016,1.008,3.361,1.833,8.0,3.0,2.188
33,0.004,0.063,2.504,1.582,9.0,3.0,1.254
34,0.01,0.098,2.985,1.728,11.0,3.0,1.497
35,0.051,0.225,8.709,2.951,12.0,3.0,4.38
36,1.313,1.146,0.0,0.008,13.0,3.0,0.656
37,3.864,1.966,13.506,3.675,14.0,3.0,8.685
38,9.026,3.004,0.096,0.311,15.0,3.0,4.561
39,2.033,1.426,33.048,5.749,1.0,4.0,17.54
40,0.538,0.733,48.202,6.943,2.0,4.0,24.37
41,3.424,1.85,0.022,0.148,3.0,4.0,1.723
42,3.855,1.963,0.456,0.675,4.0,4.0,2.155
43,8.189,2.862,10.94,3.308,5.0,4.0,9.564
44,0.753,0.868,0.249,0.499,7.0,4.0,0.501
45,0.22,0.469,2.475,1.573,8.0,4.0,1.348
46,1.173,1.083,2.01,1.418,9.0,4.0,1.591
47,1.094,1.046,33.453,5.784,11.0,4.0,17.273
48,0.232,0.482,5.979,2.445,12.0,4.0,3.106
49,9.293,3.049,0.677,0.823,13.0,4.0,4.985
50,0.733,0.856,54.994,7.416,14.0,4.0,27.864
51,13.13,3.624,76.872,8.768,15.0,4.0,45.001
52,0.08,0.283,15.355,3.919,1.0,5.0,7.718
53,8.699,2.949,675.841,25.997,2.0,5.0,342.27
54,0.917,0.958,1.519,1.232,3.0,5.0,1.218
55,0.241,0.49,0.127,0.356,4.0,5.0,0.184
56,4.954,2.226,5.494,2.344,5.0,5.0,5.224
57,3.431,1.852,0.562,0.749,7.0,5.0,1.996
58,0.164,0.405,0.007,0.085,8.0,5.0,0.086
59,0.045,0.211,2.723,1.65,9.0,5.0,1.384
60,2.286,1.512,2.692,1.641,11.0,5.0,2.489
61,1.459,1.208,50.213,7.086,12.0,5.0,25.836
62,17.437,4.176,9.587,3.096,13.0,5.0,13.512
63,14.775,3.844,1.738,1.318,14.0,5.0,8.256
