,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
64,0.072,0.268,3.708,1.926,15.0,5.0,1.89
65,0.72,0.848,0.002,0.043,7.0,6.0,0.361
66,0.393,0.627,0.002,0.042,8.0,6.0,0.197
67,1.1,1.049,3.411,1.847,9.0,6.0,2.256
68,5.697,2.387,4.271,2.067,1.0,7.0,4.984
69,2.778,1.667,3.527,1.878,2.0,7.0,3.153
70,0.0,0.003,6.284,2.507,3.0,7.0,3.142
71,5.7,2.388,3.922,1.98,4.0,7.0,4.811
72,12.15,3.486,6.341,2.518,5.0,7.0,9.246
73,4.445,2.108,1.532,1.238,7.0,7.0,2.988
74,0.847,0.92,0.019,0.139,8.0,7.0,0.433
75,3.212,1.792,5.638,2.374,9.0,7.0,4.425
76,0.721,0.849,5.213,2.283,11.0,7.0,2.967
77,5.204,2.281,74.288,8.619,12.0,7.0,39.746
78,1.899,1.378,54.209,7.363,13.0,7.0,28.054
79,4.782,2.187,0.021,0.144,14.0,7.0,2.401
80,9.853,3.139,9.025,3.004,15.0,7.0,9.439
81,4.724,2.174,0.007,0.083,1.0,8.0,2.365
82,0.071,0.266,9.758,3.124,2.0,8.0,4.915
83,0.345,0.588,2.609,1.615,3.0,8.0,1.477
84,0.889,0.943,8.577,2.929,4.0,8.0,4.733
85,7.048,2.655,0.019,0.136,5.0,8.0,3.533
86,1.212,1.101,0.545,0.738,7.0,8.0,0.878
87,0.007,0.084,7.5,2.739,8.0,8.0,3.753
88,0.208,0.456,0.153,0.391,9.0,8.0,0.18
89,0.787,0.887,8.285,2.878,11.0,8.0,4.536
90,0.568,0.754,2.623,1.62,12.0,8.0,1.595
91,25.721,5.072,49.133,7.009,13.0,8.0,37.427
92,2.642,1.626,5.703,2.388,14.0,8.0,4.173
93,2.186,1.478,4.671,2.161,15.0,8.0,3.428
94,13.118,3.622,0.157,0.396,1.0,9.0,6.637
95,2.424,1.557,2.54,1.594,2.0,9.0,2.482
96,1.739,1.319,4.018,2.004,3.0,9.0,2.879
97,0.003,0.059,1.627,1.276,4.0,9.0,0.815
98,0.229,0.478,13.125,3.623,5.0,9.0,6.677
99,0.114,0.338,0.404,0.635,7.0,9.0,0.259
100,0.086,0.293,5.97,2.443,8.0,9.0,3.028
101,0.077,0.277,6.083,2.466,9.0,9.0,3.08
102,0.63,0.794,0.339,0.582,11.0,9.0,0.485
103,0.696,0.834,34.682,5.889,12.0,9.0,17.689
104,0.989,0.995,25.594,5.059,13.0,9.0,13.292
105,2.834,1.683,2.137,1.462,14.0,9.0,2.486
106,4.404,2.098,6.161,2.482,15.0,9.0,5.282
107,9.696,3.114,8.115,2.849,1.0,10.0,8.905
108,4.756,2.181,1.19,1.091,2.0,10.0,2.973
109,0.738,0.859,5.352,2.314,3.0,10.0,3.045
110,0.0,0.022,1.786,1.336,4.0,10.0,0.893
111,10.528,3.245,27.257,5.221,5.0,10.0,18.893
112,0.684,0.827,0.001,0.028,7.0,10.0,0.343
113,0.155,0.394,10.204,3.194,8.0,10.0,5.18
114,0.068,0.26,0.33,0.575,9.0,10.0,0.199
115,0.988,0.994,1.207,1.099,11.0,10.0,1.097
116,2.066,1.437,64.946,8.059,12.0,10.0,33.506
117,3.617,1.902,0.373,0.611,13.0,10.0,1.995
118,0.334,0.578,2.577,1.605,14.0,10.0,1.455
119,6.234,2.497,41.796,6.465,15.0,10.0,24.015
120,0.194,0.441,1.135,1.065,1.0,11.0,0.665
121,4.193,2.048,0.489,0.699,2.0,11.0,2.341
122,2.007,1.417,0.026,0.162,3.0,11.0,1.017
123,0.068,0.261,0.219,0.468,4.0,11.0,0.144
124,0.415,0.644,0.76,0.872,5.0,11.0,0.588
125,2.278,1.509,0.0,0.004,7.0,11.0,1.139
126,0.009,0.096,1.732,1.316,8.0,11.0,0.871
127,0.461,0.679,5.213,2.283,9.0,11.0,2.837
128,9.292,3.048,25.328,5.033,11.0,11.0,17.31
129,0.515,0.717,0.963,0.982,12.0,11.0,0.739
130,1.597,1.264,35.062,5.921,13.0,11.0,18.329
131,0.26,0.51,1.608,1.268,14.0,11.0,0.934
132,4.53,2.128,2.311,1.52,15.0,11.0,3.421
133,3.665,1.914,3.152,1.775,7.0,12.0,3.409
134,0.565,0.752,13.031,3.61,8.0,12.0,6.798
135,3.257,1.805,0.189,0.434,9.0,12.0,1.723
136,1.249,1.117,2.314,1.521,1.0,13.0,1.781
137,0.225,0.474,11.083,3.329,2.0,13.0,5.654
138,8.77,2.961,41.297,6.426,3.0,13.0,25.034
139,6.915,2.63,6.095,2.469,4.0,13.0,6.505
140,13.983,3.739,3.128,1.769,5.0,13.0,8.556
141,2.832,1.683,7.657,2.767,7.0,13.0,5.245
142,0.011,0.105,0.016,0.128,8.0,13.0,0.014
143,4.719,2.172,13.878,3.725,9.0,13.0,9.298
144,2.791,1.671,1.688,1.299,11.0,13.0,2.239
145,0.012,0.112,4.5,2.121,12.0,13.0,2.256
146,0.633,0.796,24.913,4.991,13.0,13.0,12.773
147,6.534,2.556,52.095,7.218,14.0,13.0,29.315
148,1.123,1.06,46.281,6.803,15.0,13.0,23.702
149,8.208,2.865,21.51,4.638,1.0,14.0,14.859
150,0.152,0.39,3.777,1.943,2.0,14.0,1.964
151,0.023,0.152,30.837,5.553,3.0,14.0,15.43
152,2.557,1.599,1.595,1.263,4.0,14.0,2.076
153,12.711,3.565,0.333,0.577,5.0,14.0,6.522
154,0.079,0.282,68.385,8.269,7.0,14.0,34.232
155,0.578,0.761,2.75,1.658,8.0,14.0,1.664
156,3.032,1.741,5.674,2.382,9.0,14.0,4.353
157,3.655,1.912,10.382,3.222,11.0,14.0,7.019
158,7.385,2.718,51.084,7.147,12.0,14.0,29.235
159,4.496,2.12,1.528,1.236,13.0,14.0,3.012
160,0.162,0.403,21.735,4.662,14.0,14.0,10.949
161,0.608,0.78,17.699,4.207,15.0,14.0,9.154
162,0.085,0.292,6.571,2.563,1.0,15.0,3.328
163,0.07,0.264,4.749,2.179,2.0,15.0,2.41
164,0.408,0.639,3.149,1.775,3.0,15.0,1.779
165,0.647,0.804,15.817,3.977,4.0,15.0,8.232
166,5.545,2.355,0.426,0.653,5.0,15.0,2.985
167,2.583,1.607,0.374,0.612,7.0,15.0,1.479
168,0.011,0.107,18.369,4.286,8.0,15.0,9.19
169,3.597,1.896,0.257,0.507,9.0,15.0,1.927
170,0.013,0.116,4.407,2.099,11.0,15.0,2.21
171,0.149,0.386,18.592,4.312,12.0,15.0,9.371
172,3.515,1.875,0.084,0.289,13.0,15.0,1.799
173,11.447,3.383,20.796,4.56,14.0,15.0,16.121
174,14.606,3.822,2.521,1.588,15.0,15.0,8.564
175,0.19,0.436,24.826,4.983,1.0,16.0,12.508
176,7.203,2.684,0.271,0.521,2.0,16.0,3.737
177,0.077,0.278,9.264,3.044,3.0,16.0,4.671
178,0.001,0.034,1.471,1.213,4.0,16.0,0.736
179,1.058,1.029,0.393,0.627,5.0,16.0,0.726
180,0.773,0.879,3.669,1.916,7.0,16.0,2.221
181,0.001,0.023,12.484,3.533,8.0,16.0,6.242
182,4.348,2.085,1.284,1.133,9.0,16.0,2.816
183,0.033,0.181,20.3,4.506,11.0,16.0,10.166
184,3.125,1.768,4.579,2.14,12.0,16.0,3.852
185,9.46,3.076,16.605,4.075,13.0,16.0,13.033
186,0.019,0.137,23.125,4.809,14.0,16.0,11.572
187,11.536,3.396,7.43,2.726,15.0,16.0,9.483
188,0.491,0.701,0.864,0.93,1.0,17.0,0.677
189,0.64,0.8,3.208,1.791,2.0,17.0,1.924
190,0.969,0.984,4.716,2.172,3.0,17.0,2.843
191,2.997,1.731,1.812,1.346,4.0,17.0,2.404
192,1.332,1.154,10.421,3.228,5.0,17.0,5.877
193,1.627,1.276,0.019,0.136,7.0,17.0,0.823
194,1.686,1.299,1.405,1.185,8.0,17.0,1.545
195,3.851,1.962,0.507,0.712,9.0,17.0,2.179
196,17.348,4.165,4.039,2.01,11.0,17.0,10.693
197,0.01,0.1,32.453,5.697,12.0,17.0,16.232
198,0.151,0.389,1.234,1.111,13.0,17.0,0.692
199,0.532,0.729,11.613,3.408,14.0,17.0,6.072
200,17.511,4.185,14.032,3.746,15.0,17.0,15.771
201,1.045,1.022,5.828,2.414,7.0,18.0,3.437
202,0.024,0.156,0.165,0.406,8.0,18.0,0.095
203,0.152,0.389,30.619,5.533,9.0,18.0,15.386
204,14.365,3.79,30.98,5.566,1.0,19.0,22.672
205,0.485,0.697,2.174,1.474,2.0,19.0,1.329
206,0.121,0.348,9.276,3.046,3.0,19.0,4.699
207,0.924,0.961,2.836,1.684,4.0,19.0,1.88
208,6.527,2.555,23.415,4.839,5.0,19.0,14.971
209,5.094,2.257,3.118,1.766,7.0,19.0,4.106
210,0.031,0.176,0.247,0.497,8.0,19.0,0.139
211,0.697,0.835,0.206,0.454,9.0,19.0,0.452
212,6.488,2.547,20.089,4.482,11.0,19.0,13.288
213,0.092,0.303,0.645,0.803,12.0,19.0,0.368
214,1.26,1.123,88.796,9.423,13.0,19.0,45.028
215,0.799,0.894,0.604,0.777,14.0,19.0,0.701
216,22.125,4.704,67.018,8.186,15.0,19.0,44.571
217,7.725,2.779,0.006,0.078,1.0,20.0,3.866
218,3.691,1.921,1.183,1.088,2.0,20.0,2.437
219,5.116,2.262,0.177,0.421,3.0,20.0,2.647
220,0.342,0.585,7.498,2.738,4.0,20.0,3.92
221,0.003,0.054,1.238,1.113,5.0,20.0,0.62
222,3.856,1.964,17.946,4.236,7.0,20.0,10.901
223,4.19,2.047,13.718,3.704,8.0,20.0,8.954
224,0.011,0.104,6.128,2.475,9.0,20.0,3.069
225,12.46,3.53,0.08,0.284,11.0,20.0,6.27
226,17.82,4.221,33.036,5.748,12.0,20.0,25.428
227,64.931,8.058,28.941,5.38,13.0,20.0,46.936
228,4.703,2.169,82.269,9.07,14.0,20.0,43.486
229,0.034,0.185,0.896,0.947,15.0,20.0,0.465
230,0.948,0.974,0.028,0.166,1.0,21.0,0.488
231,12.277,3.504,7.908,2.812,2.0,21.0,10.092
232,0.14,0.374,25.497,5.049,3.0,21.0,12.818
233,0.45,0.671,0.637,0.798,4.0,21.0,0.544
234,0.944,0.971,1.756,1.325,5.0,21.0,1.35
235,3.44,1.855,3.111,1.764,7.0,21.0,3.276
236,0.392,0.626,1.226,1.107,8.0,21.0,0.809
237,0.067,0.258,3.281,1.811,9.0,21.0,1.674
238,0.475,0.689,31.417,5.605,11.0,21.0,15.946
239,0.008,0.09,3.732,1.932,12.0,21.0,1.87
240,0.025,0.157,1.682,1.297,13.0,21.0,0.854
241,0.487,0.698,0.754,0.869,14.0,21.0,0.621
242,1.164,1.079,3.952,1.988,15.0,21.0,2.558
243,2.296,1.515,4.786,2.188,1.0,22.0,3.541
244,1.551,1.246,2.897,1.702,2.0,22.0,2.224
245,0.238,0.488,0.0,0.018,3.0,22.0,0.119
246,0.48,0.693,2.913,1.707,4.0,22.0,1.696
247,0.232,0.482,14.513,3.81,5.0,22.0,7.373
248,2.115,1.454,0.003,0.057,7.0,22.0,1.059
249,0.052,0.228,3.245,1.801,8.0,22.0,1.649
250,0.051,0.226,47.733,6.909,9.0,22.0,23.892
251,6.79,2.606,8.044,2.836,11.0,22.0,7.417
252,2.437,1.561,0.146,0.382,12.0,22.0,1.292
253,0.156,0.395,0.0,0.015,13.0,22.0,0.078
254,0.953,0.976,1.12,1.058,14.0,22.0,1.036
255,8.015,2.831,1.805,1.343,15.0,22.0,4.91
256,0.035,0.186,8.482,2.912,1.0,23.0,4.258
257,1.169,1.081,9.947,3.154,2.0,23.0,5.558
258,3.143,1.773,8.472,2.911,3.0,23.0,5.808
259,0.888,0.942,5.739,2.396,4.0,23.0,3.313
260,5.741,2.396,2.859,1.691,5.0,23.0,4.3
261,7.707,2.776,49.939,7.067,7.0,23.0,28.823
262,0.561,0.749,26.249,5.123,8.0,23.0,13.405
263,0.261,0.511,31.436,5.607,9.0,23.0,15.849
264,1.735,1.317,0.994,0.997,11.0,23.0,1.364
265,0.392,0.626,2.575,1.605,12.0,23.0,1.484
266,8.15,2.855,5.592,2.365,13.0,23.0,6.871
267,21.02,4.585,0.067,0.258,14.0,23.0,10.543
268,20.742,4.554,11.845,3.442,15.0,23.0,16.293
269,21.701,4.658,5.492,2.344,1.0,25.0,13.597
270,27.932,5.285,0.0,0.011,2.0,25.0,13.966
271,1.57,1.253,6.644,2.578,3.0,25.0,4.107
272,28.097,5.301,0.566,0.753,4.0,25.0,14.332
273,17.963,4.238,1.0,1.0,5.0,25.0,9.482
274,0.156,0.395,0.008,0.088,6.0,25.0,0.082
275,0.689,0.83,42.542,6.522,7.0,25.0,21.615
276,0.002,0.039,0.387,0.622,8.0,25.0,0.194
277,2.09,1.446,4.126,2.031,9.0,25.0,3.108
278,1.246,1.116,4.457,2.111,10.0,25.0,2.851
279,8.671,2.945,0.667,0.817,11.0,25.0,4.669
280,7.38,2.717,5.39,2.322,12.0,25.0,6.385
281,4.75,2.18,75.803,8.706,13.0,25.0,40.277
282,31.199,5.586,0.983,0.991,14.0,25.0,16.091
283,2.422,1.556,9.62,3.102,15.0,25.0,6.021
284,8.598,2.932,0.023,0.152,1.0,26.0,4.311
285,1.063,1.031,1.876,1.37,2.0,26.0,1.469
286,0.238,0.488,0.021,0.146,3.0,26.0,0.13
287,0.147,0.384,3.173,1.781,4.0,26.0,1.66
288,16.203,4.025,23.318,4.829,5.0,26.0,19.761
289,0.058,0.24,0.095,0.308,6.0,26.0,0.076
290,0.844,0.918,27.79,5.272,7.0,26.0,14.317
291,1.717,1.31,1.031,1.015,8.0,26.0,1.374
292,2.238,1.496,9.589,3.097,9.0,26.0,5.913
293,3.347,1.83,0.043,0.207,10.0,26.0,1.695
294,0.899,0.948,59.923,7.741,11.0,26.0,30.411
295,5.282,2.298,2.074,1.44,12.0,26.0,3.678
296,7.426,2.725,0.006,0.079,13.0,26.0,3.716
297,37.069,6.088,1.303,1.141,14.0,26.0,19.186
298,0.302,0.55,7.248,2.692,15.0,26.0,3.775
299,24.628,4.963,26.304,5.129,1.0,27.0,25.466
300,17.17,4.144,7.509,2.74,2.0,27.0,12.339
301,0.403,0.635,7.769,2.787,3.0,27.0,4.086
302,0.687,0.829,6.606,2.57,4.0,27.0,3.647
303,8.61,2.934,6.583,2.566,5.0,27.0,7.596
304,3.091,1.758,0.025,0.157,6.0,27.0,1.558
305,1.047,1.023,0.541,0.736,7.0,27.0,0.794
306,1.035,1.017,4.705,2.169,8.0,27.0,2.87
307,1.778,1.333,6.734,2.595,9.0,27.0,4.256
308,3.131,1.769,2.17,1.473,10.0,27.0,2.65
309,1.615,1.271,168.017,12.962,11.0,27.0,84.816
310,7.381,2.717,25.258,5.026,12.0,27.0,16.319
311,16.184,4.023,36.45,6.037,13.0,27.0,26.317
312,10.239,3.2,43.055,6.562,14.0,27.0,26.647
313,24.822,4.982,3.125,1.768,15.0,27.0,13.974
314,9.781,3.127,0.388,0.623,1.0,28.0,5.084
315,0.767,0.876,19.22,4.384,2.0,28.0,9.994
316,21.524,4.639,2.762,1.662,3.0,28.0,12.143
317,0.1,0.316,33.413,5.78,4.0,28.0,16.756
318,5.815,2.411,3.526,1.878,5.0,28.0,4.67
319,6.049,2.459,10.23,3.198,6.0,28.0,8.139
320,1.144,1.07,1.662,1.289,7.0,28.0,1.403
321,0.242,0.492,6.904,2.628,8.0,28.0,3.573
322,4.478,2.116,2.283,1.511,9.0,28.0,3.381
323,5.625,2.372,0.203,0.451,10.0,28.0,2.914
324,6.313,2.513,112.493,10.606,11.0,28.0,59.403
325,31.934,5.651,0.534,0.731,12.0,28.0,16.234
326,2.989,1.729,43.06,6.562,13.0,28.0,23.025
327,31.03,5.57,15.355,3.919,14.0,28.0,23.193
328,7.812,2.795,43.41,6.589,15.0,28.0,25.611
329,37.995,6.164,1.058,1.029,1.0,29.0,19.527
330,10.701,3.271,19.437,4.409,2.0,29.0,15.069
331,2.068,1.438,3.203,1.79,3.0,29.0,2.636
332,19.249,4.387,27.554,5.249,4.0,29.0,23.401
333,5.887,2.426,29.814,5.46,5.0,29.0,17.851
334,0.665,0.816,24.109,4.91,6.0,29.0,12.387
335,3.267,1.808,0.052,0.227,7.0,29.0,1.659
336,0.516,0.718,9.857,3.14,8.0,29.0,5.187
337,2.167,1.472,0.92,0.959,9.0,29.0,1.543
338,6.448,2.539,0.165,0.406,10.0,29.0,3.307
339,6.276,2.505,101.804,10.09,11.0,29.0,54.04
340,13.804,3.715,83.887,9.159,12.0,29.0,48.845
341,35.567,5.964,5.487,2.342,13.0,29.0,20.527
342,21.893,4.679,37.949,6.16,14.0,29.0,29.921
343,50.212,7.086,44.933,6.703,15.0,29.0,47.572
344,0.153,0.391,27.511,5.245,1.0,30.0,13.832
345,57.184,7.562,5.501,2.345,2.0,30.0,31.343
346,1.779,1.334,39.41,6.278,3.0,30.0,20.594
347,0.619,0.787,50.517,7.107,4.0,30.0,25.568
348,0.001,0.027,82.039,9.058,5.0,30.0,41.02
349,3.141,1.772,10.271,3.205,6.0,30.0,6.706
350,0.763,0.874,87.587,9.359,7.0,30.0,44.175
351,0.131,0.362,83.928,9.161,8.0,30.0,42.029
352,0.383,0.619,48.467,6.962,9.0,30.0,24.425
353,3.453,1.858,54.162,7.359,10.0,30.0,28.807
354,8.769,2.961,45.603,6.753,11.0,30.0,27.186
355,27.929,5.285,49.814,7.058,12.0,30.0,38.871
356,25.89,5.088,14.066,3.75,13.0,30.0,19.978
357,0.087,0.296,64.548,8.034,14.0,30.0,32.318
358,53.006,7.281,4.951,2.225,15.0,30.0,28.979
359,0.291,0.539,96.667,9.832,1.0,31.0,48.479
360,0.661,0.813,7.136,2.671,2.0,31.0,3.898
361,1.377,1.174,93.064,9.647,3.0,31.0,47.22
362,13.859,3.723,9.951,3.154,4.0,31.0,11.905
363,1.549,1.245,70.993,8.426,5.0,31.0,36.271
364,2.983,1.727,3.017,1.737,6.0,31.0,3.0
365,4.772,2.185,240.644,15.513,7.0,31.0,122.708
366,0.926,0.962,161.973,12.727,8.0,31.0,81.449
367,2.748,1.658,23.804,4.879,9.0,31.0,13.276
368,3.23,1.797,16.449,4.056,10.0,31.0,9.84
369,16.186,4.023,28.033,5.295,11.0,31.0,22.11
370,7.299,2.702,170.861,13.071,12.0,31.0,89.08
371,47.066,6.86,48.28,6.948,13.0,31.0,47.673
372,0.093,0.305,309.596,17.595,14.0,31.0,154.845
