,фаза 1-го луча,мощность 1-го луча,врем€ 1-го луча,AоD phi 1-го луча,AоD theta 1-го луча,AоA phi 1-го луча,Aој theta 1-го луча,фаза 2-го луча,мощность 2-го луча,врем€ 2-го луча,AоD phi 2-го луча,AоD theta 2-го луча,AоA phi 2-го луча,Aој theta 2-го луча,фаза 3-го луча,мощность 3-го луча,врем€ 3-го луча,AоD phi 3-го луча,AоD theta 3-го луча,AоA phi 3-го луча,Aој theta 3-го луча,фаза 4-го луча,мощность 4-го луча,врем€ 4-го луча,AоD phi 4-го луча,AоD theta 4-го луча,AоA phi 4-го луча,Aој theta 4-го луча,фаза 5-го луча,мощность 5-го луча,врем€ 5-го луча,AоD phi 5-го луча,AоD theta 5-го луча,AоA phi 5-го луча,Aој theta 5-го луча,фаза 6-го луча,мощность 6-го луча,врем€ 6-го луча,AоD phi 6-го луча,AоD theta 6-го луча,AоA phi 6-го луча,Aој theta 6-го луча,фаза 7-го луча,мощность 7-го луча,врем€ 7-го луча,AоD phi 7-го луча,AоD theta 7-го луча,AоA phi 7-го луча,Aој theta 7-го луча,фаза 8-го луча,мощность 8-го луча,врем€ 8-го луча,AоD phi 8-го луча,AоD theta 8-го луча,AоA phi 8-го луча,Aој theta 8-го луча,фаза 9-го луча,мощность 9-го луча,врем€ 9-го луча,AоD phi 9-го луча,AоD theta 9-го луча,AоA phi 9-го луча,Aој theta 9-го луча,фаза 10-го луча,мощность 10-го луча,врем€ 10-го луча,AоD phi 10-го луча,AоD theta 10-го луча,AоA phi 10-го луча,Aој theta 10-го луча,фаза 11-го луча,мощность 11-го луча,врем€ 11-го луча,AоD phi 11-го луча,AоD theta 11-го луча,AоA phi 11-го луча,Aој theta 11-го луча,фаза 12-го луча,мощность 12-го луча,врем€ 12-го луча,AоD phi 12-го луча,AоD theta 12-го луча,AоA phi 12-го луча,Aој theta 12-го луча,фаза 13-го луча,мощность 13-го луча,врем€ 13-го луча,AоD phi 13-го луча,AоD theta 13-го луча,AоA phi 13-го луча,Aој theta 13-го луча,фаза 14-го луча,мощность 14-го луча,врем€ 14-го луча,AоD phi 14-го луча,AоD theta 14-го луча,AоA phi 14-го луча,Aој theta 14-го луча,фаза 15-го луча,мощность 15-го луча,врем€ 15-го луча,AоD phi 15-го луча,AоD theta 15-го луча,AоA phi 15-го луча,Aој theta 15-го луча,x,y,z,N
335,-126.62,-72.345,0.0,-91.995,2.445,88.009,-2.5,2.936,-72.361,0.0,-93.07,2.436,92.963,-2.5,62.058,-74.045,0.0,91.311,1.989,88.332,-2.05,104.02,-75.562,0.0,-73.494,2.343,73.54,-2.4,64.726,-76.343,0.0,76.636,1.862,76.321,-2.0,-47.962,-78.389,0.0,75.251,1.788,104.39,-2.0,-67.969,-78.498,0.0,-72.57,2.29,107.37,-2.4,-25.588,-81.345,0.0,-91.379,1.725,-88.719,-1.6,-134.13,-81.96,0.0,-90.952,1.554,88.755,-1.5,100.83,-82.456,0.0,-79.152,1.826,-79.122,-1.55,152.68,-82.492,0.0,91.566,1.685,-88.894,-1.4,43.157,-83.035,0.0,91.288,1.85,88.948,-1.3,-61.106,-87.354,0.0,99.09,1.963,91.834,-2.05,145.83,-87.945,0.0,99.09,1.971,89.082,-2.05,103.09,-88.151,0.0,91.5,11.306,88.35,-1.125,7.0,29.0,1.5,5
336,69.55,-72.4,0.0,-94.407,2.417,85.506,-2.5,-72.283,-74.082,0.0,93.765,1.951,86.33,-2.05,152.65,-74.782,0.0,-75.865,2.465,75.842,-2.4,27.408,-77.049,0.0,-74.845,2.418,105.07,-2.4,-131.78,-81.334,0.0,-93.09,1.713,-87.119,-1.6,-19.476,-81.635,0.0,-93.465,1.706,-93.571,-1.6,-113.62,-81.947,0.0,-93.356,1.537,93.307,-1.5,127.04,-81.95,0.0,-92.493,1.544,87.255,-1.5,-111.12,-82.232,0.0,-80.568,1.577,-80.716,-1.6,-125.14,-82.323,0.0,-80.307,1.556,-99.974,-1.6,59.928,-82.483,0.0,92.471,1.667,-87.444,-1.4,-179.67,-82.746,0.0,92.687,1.656,-93.145,-1.4,-37.338,-82.891,0.0,-81.479,1.586,81.451,-1.45,-43.941,-83.025,0.0,92.338,1.024,87.599,-1.35,86.26,-85.465,0.0,-105.4,1.313,-74.514,-1.6,8.0,29.0,1.5,5
337,140.75,-72.496,0.0,-96.912,2.548,83.051,-2.45,164.94,-73.311,0.0,-97.943,2.523,97.914,-2.45,50.316,-74.147,0.0,95.604,1.885,84.279,-2.05,40.689,-81.324,0.0,-94.768,1.692,-85.518,-1.6,119.5,-81.779,0.0,-95.126,1.682,-95.172,-1.6,-47.623,-81.941,0.0,-94.007,1.526,85.754,-1.5,-41.814,-82.038,0.0,-82.044,1.624,-82.317,-1.6,-104.36,-82.475,0.0,94.084,1.635,-86.043,-1.4,-13.246,-82.869,0.0,94.272,1.618,-94.546,-1.4,161.48,-83.018,0.0,93.314,0.996,86.249,-1.35,93.609,-85.549,0.0,-77.494,2.35,77.196,-2.45,94.642,-85.844,0.0,-115.07,2.267,64.825,-2.25,-3.764,-86.242,0.0,-107.19,1.534,-73.07,-1.55,91.77,-88.242,0.0,95.819,11.253,84.3,-1.125,143.76,-88.877,0.0,96.722,11.234,96.5,-1.125,9.0,29.0,1.5,5
338,88.483,-72.632,0.0,-99.31,2.479,80.599,-2.45,61.967,-73.795,0.0,-100.28,2.446,100.37,-2.45,70.934,-74.239,0.0,97.793,1.791,82.278,-2.05,80.775,-75.129,0.0,98.488,2.255,98.535,-2.0,132.24,-81.311,0.0,-96.051,1.359,-83.861,-1.65,62.225,-81.929,0.0,-95.476,1.5,84.254,-1.5,177.76,-81.938,0.0,-96.728,1.648,-96.772,-1.6,20.276,-82.465,0.0,95.619,1.589,-84.643,-1.4,82.193,-83.001,0.0,95.768,1.567,-95.946,-1.4,-59.508,-83.009,0.0,95.031,0.955,84.949,-1.35,-165.19,-87.197,0.0,-108.46,1.444,-71.569,-1.55,-95.765,-87.913,0.0,-117.09,2.271,62.821,-2.2,-61.862,-88.293,0.0,97.626,11.213,82.55,-1.075,112.83,-88.33,0.0,98.021,11.202,82.3,-1.125,-45.796,-89.086,0.0,98.142,11.199,98.25,-1.075,10.0,29.0,1.5,5
339,-84.931,-72.801,0.0,-101.73,2.391,78.196,-2.45,-161.02,-74.368,0.0,-102.81,2.35,102.72,-2.45,-22.607,-81.512,0.0,101.31,2.178,80.474,-2.0,97.085,-81.919,0.0,-97.204,1.796,82.802,-1.45,-47.857,-82.011,0.0,101.31,2.123,100.44,-2.0,120.81,-82.662,0.0,-98.014,1.451,97.758,-1.5,137.37,-86.268,0.0,75.964,1.757,78.12,-1.95,71.133,-86.615,0.0,77.662,1.715,102.88,-1.95,-92.297,-86.914,0.0,114.33,1.966,65.409,-1.85,65.852,-87.149,0.0,75.964,1.699,102.73,-1.95,121.11,-87.172,0.0,-48.153,1.876,48.15,-1.85,-123.75,-87.268,0.0,-97.021,1.625,82.902,-1.45,75.061,-87.758,0.0,96.689,1.048,-83.392,-1.4,-99.346,-88.066,0.0,-97.781,1.61,97.656,-1.45,-35.885,-88.25,0.0,-109.91,1.654,-70.126,-1.5,11.0,29.0,1.5,5
340,-145.81,-79.547,0.0,101.14,1.82,78.671,-1.95,150.74,-80.915,0.0,102.36,1.77,102.03,-1.95,57.872,-81.906,0.0,-98.553,1.425,81.303,-1.5,50.879,-82.844,0.0,-99.317,1.407,99.259,-1.5,-67.694,-82.865,0.0,97.554,1.13,82.198,-1.35,-3.204,-86.463,0.0,97.765,1.768,78.37,-1.95,71.643,-88.272,0.0,97.275,1.696,82.296,-1.3,-75.657,-88.491,0.0,97.765,1.695,102.43,-1.95,114.08,-89.192,0.0,97.765,1.13,82.198,-1.35,-177.14,-89.921,0.0,-97.186,0.996,97.346,-1.2,-139.43,-89.956,0.0,-98.526,2.252,81.3,-1.125,103.58,-89.995,0.0,97.581,1.645,82.2,-1.125,-8.718,-89.997,0.0,-120.89,2.082,59.017,-2.15,48.622,-90.799,0.0,-98.512,2.252,81.55,-1.075,115.26,-90.818,0.0,97.742,1.644,98.35,-1.125,12.0,29.0,1.5,5
341,-132.48,-82.856,0.0,99.273,1.042,80.897,-1.35,-132.84,-83.624,0.0,-106.51,2.343,73.54,-2.4,66.541,-85.809,0.0,-107.43,2.29,107.37,-2.4,15.813,-89.241,0.0,-105.66,7.678,72.8,2.228,-87.579,-89.793,0.0,-122.67,2.072,57.213,-2.1,38.737,-90.002,0.0,99.304,1.638,80.9,-1.125,-103.2,-90.155,0.0,-101.32,1.356,100.41,-1.5,-34.019,-90.442,0.0,118.18,1.715,61.607,-1.85,-81.705,-90.496,0.0,-101.32,1.377,80.453,-1.5,23.332,-91.001,0.0,99.394,1.637,99.65,-1.125,27.882,-91.49,0.0,98.513,1.04,80.447,-1.35,-167.8,-93.111,0.0,-106.37,8.01,108.15,2.075,136.33,-93.606,0.0,-100.48,1.426,80.451,-1.45,-24.457,-93.778,0.0,99.459,4.659,79.25,1.409,-9.25,-94.498,0.0,98.513,0.998,100.4,-1.35,13.0,29.0,1.5,5
342,29.914,-85.38,0.0,106.01,2.129,74.12,-2.0,51.64,-86.887,0.0,-101.21,-2.734,78.676,-2.9,160.38,-86.892,0.0,-101.04,1.374,78.65,-1.45,-118.72,-87.434,0.0,106.9,2.031,106.64,-2.0,99.759,-88.19,0.0,-101.98,1.352,101.86,-1.45,-101.29,-89.151,0.0,105.44,5.644,73.65,2.121,151.27,-89.547,0.0,-98.839,1.24,80.891,-1.15,-138.22,-90.681,0.0,-101.38,-2.762,78.7,-2.925,-140.02,-90.861,0.0,-101.37,-3.164,78.7,-2.825,4.824,-91.309,0.0,119.67,1.936,60.005,-1.8,-121.9,-91.46,0.0,-109.64,2.328,109.62,-2.35,21.336,-91.662,0.0,105.71,-6.417,74.1,-3.575,35.574,-91.946,0.0,101.7,0.897,100.4,-1.35,161.08,-91.981,0.0,-102.04,-2.756,101.85,-2.925,159.39,-92.148,0.0,-102.03,-3.157,101.85,-2.825,14.0,29.0,1.5,5
343,125.67,-89.631,0.0,-73.336,1.441,73.102,-1.55,-25.197,-91.518,0.0,121.15,1.576,58.454,-1.8,-126.99,-92.05,0.0,-104.87,1.486,75.158,-1.7,-85.121,-92.773,0.0,-51.613,1.697,51.005,-1.95,87.314,-92.957,0.0,101.19,1.241,78.944,-1.25,-90.189,-93.081,0.0,-99.377,-1.818,80.45,-2.325,160.87,-93.346,0.0,-104.8,4.351,74.9,1.963,106.33,-93.783,0.0,-105.6,1.734,105.47,-1.65,-117.1,-94.436,0.0,112.25,1.874,72.619,-2.0,-47.834,-95.54,0.0,122.06,1.933,57.552,-1.75,15.972,-95.876,0.0,-100.66,0.963,100.45,-1.15,23.199,-96.118,0.0,-105.15,4.49,105.8,1.825,66.022,-96.192,0.0,112.25,1.771,108.19,-2.0,-14.496,-97.592,0.0,121.56,-5.644,58.5,-3.175,146.82,-97.937,0.0,101.31,-1.652,78.95,-2.925,15.0,29.0,1.5,5
344,84.703,-85.014,0.0,-71.718,1.415,71.746,-1.4,-26.344,-86.524,0.0,-49.39,1.844,49.349,-1.8,-159.4,-96.276,0.0,-71.696,5.024,71.75,-0.825,-117.47,-96.322,0.0,71.322,1.506,74.244,-1.3,-20.787,-97.283,0.0,-65.548,1.326,74.249,-1.45,90.867,-97.506,0.0,71.322,1.437,106.55,-1.3,73.622,-97.672,0.0,68.659,-3.86,68.5,-2.425,-164.67,-97.794,0.0,-115.88,1.142,67.4,-1.55,128.12,-98.732,0.0,-71.656,3.033,71.7,2.366,34.796,-99.04,0.0,-67.191,1.398,74.247,-1.4,-151.33,-99.067,0.0,73.424,2.9,73.35,-0.825,-176.62,-99.146,0.0,-65.548,1.299,106.56,-1.45,-17.328,-99.337,0.0,64.977,-3.318,114.82,-2.9,49.661,-100.0,0.0,64.977,1.925,114.83,-1.85,-67.87,-100.74,0.0,-71.802,3.883,71.75,1.475,1.0,30.0,1.5,5
345,56.521,-79.503,0.0,67.945,1.756,67.462,-1.9,132.6,-84.37,0.0,66.654,1.622,113.19,-1.9,-120.98,-84.584,0.0,-73.316,1.49,73.047,-1.4,-64.688,-86.23,0.0,-110.49,-1.42,69.65,-2.475,33.753,-87.112,0.0,-50.796,1.844,50.751,-1.85,9.29,-88.515,0.0,-110.33,1.237,69.646,-1.4,46.927,-90.79,0.0,74.531,1.696,74.244,-1.3,9.605,-92.911,0.0,-69.489,1.419,74.249,-1.45,152.92,-93.541,0.0,-110.48,-1.921,69.65,-2.275,-110.97,-93.837,0.0,67.649,1.756,66.961,-1.9,-143.94,-94.375,0.0,-69.489,1.391,106.56,-1.45,65.144,-94.752,0.0,73.354,1.389,106.25,-1.125,-7.542,-94.828,0.0,-70.953,1.485,74.247,-1.4,61.627,-95.483,0.0,74.531,1.626,106.55,-1.3,155.38,-95.61,0.0,67.673,7.871,67.55,1.425,2.0,30.0,1.5,5
