275;1,139;1,067;1,019;1,01;7;25
276;0,016;0,125;2,833;1,683;8;25
277;1,053;1,026;1,076;1,037;9;25
278;4,901;2,214;4,387;2,094;10;25
279;9,748;3,122;8,013;2,831;11;25
280;17,984;4,241;13,224;3,636;12;25
281;29,575;5,438;15,772;3,971;13;25
282;39,575;6,291;0,824;0,908;14;25
283;51,611;7,184;2,178;1,476;15;25
284;51,882;7,203;0,001;0,037;1;26
285;38,95;6,241;0,257;0,507;2;26
286;27,338;5,229;15,046;3,879;3;26
287;17,172;4,144;22,394;4,732;4;26
288;10,037;3,168;3,436;1,854;5;26
289;4,031;2,008;48,78;6,984;6;26
290;1,161;1,078;0,062;0,248;7;26
291;0,012;0,111;0,34;0,583;8;26
292;1,025;1,012;0,047;0,217;9;26
293;4,326;2,08;48,335;6,952;10;26
294;10,187;3,192;3,294;1,815;11;26
295;18,031;4,246;21,532;4,64;12;26
296;28,459;5,335;15,494;3,936;13;26
297;38,817;6,23;0,22;0,47;14;26
298;52,133;7,22;0;0,001;15;26
299;51,408;7,17;3,379;1,838;1;27
300;38,455;6,201;1,08;1,039;2;27
301;27,234;5,219;0,16;0,4;3;27
302;16,598;4,074;5,152;2,27;4;27
303;9,725;3,119;6,651;2,579;5;27
304;4,225;2,056;1,965;1,402;6;27
305;1,133;1,064;1,174;1,083;7;27
306;0,008;0,09;0,229;0,478;8;27
307;1,031;1,015;1,24;1,114;9;27
308;4,876;2,208;1,886;1,373;10;27
309;10,324;3,213;6,299;2,51;11;27
310;18,189;4,265;5,341;2,311;12;27
311;29,447;5,427;0,124;0,352;13;27
312;38,762;6,226;1,034;1,017;14;27
313;51,307;7,163;3,156;1,776;15;27
314;52,602;7,253;12,583;3,547;1;28
315;38,592;6,212;9,046;3,008;2;28
316;26,193;5,118;3,616;1,901;3;28
317;16,694;4,086;9,462;3,076;4;28
318;9,632;3,104;17,413;4,173;5;28
319;4,296;2,073;2,439;1,562;6;28
320;1,027;1,013;37,606;6,132;7;28
321;0,006;0,075;2,56;1,6;8;28
322;1,158;1,076;37,096;6,091;9;28
323;4,831;2,198;2,384;1,544;10;28
324;9,418;3,069;45,946;6,778;11;28
325;18,674;4,321;9,847;3,138;12;28
326;27,04;5,2;3,731;1,932;13;28
327;38,49;6,204;9,1;3,017;14;28
328;51,217;7,157;13,057;3,614;15;28
329;53,01;7,281;0,069;0,263;1;29
330;41,017;6,404;43,131;6,567;2;29
331;26,76;5,173;29,665;5,447;3;29
332;17,764;4,215;0,124;0,352;4;29
333;9,99;3,161;78,889;8,882;5;29
334;4,382;2,093;3,178;1,783;6;29
335;1,058;1,028;39,247;6,265;7;29
336;0,005;0,069;7,98;2,825;8;29
337;1,094;1,046;39,103;6,253;9;29
338;4,857;2,204;3,081;1,755;10;29
339;9,527;3,087;76,743;8,76;11;29
340;18,332;4,282;0,123;0,351;12;29
341;27,493;5,243;29,541;5,435;13;29
342;40,501;6,364;42,217;6,497;14;29
343;52,25;7,228;0,029;0,169;15;29
344;52,281;7,231;0,176;0,419;1;30
345;39,809;6,309;0,056;0,237;2;30
346;25,992;5,098;0,001;0,028;3;30
347;18,39;4,288;6,469;2,543;4;30
348;10,222;3,197;85,544;9,249;5;30
349;4,558;2,135;1,737;1,318;6;30
350;1,078;1,038;66,897;8,179;7;30
351;0,004;0,061;16,485;4,06;8;30
352;1,086;1,042;65,976;8,123;9;30
353;4,898;2,213;3,281;1,811;10;30
354;9,91;3,148;85,419;9,242;11;30
355;17,749;4,213;6,783;2,604;12;30
356;27,537;5,248;0;0,016;13;30
357;40,174;6,338;0,088;0,296;14;30
358;51,147;7,152;0,802;0,896;15;30
359;53,777;7,333;22,722;4,767;1;31
360;38,318;6,19;27,295;5,225;2;31
361;26,238;5,122;0,518;0,72;3;31
362;18,158;4,261;13,325;3,65;4;31
363;10,508;3,242;87,03;9,329;5;31
364;4,572;2,138;14,493;3,807;6;31
365;1,053;1,026;82,662;9,092;7;31
366;0,004;0,066;25,794;5,079;8;31
367;1,135;1,066;81,414;9,023;9;31
368;4,682;2,164;14,631;3,825;10;31
369;10,353;3,218;87,317;9,344;11;31
370;17,739;4,212;13,659;3,696;12;31
371;27,461;5,24;0,654;0,809;13;31
372;37,611;6,133;26,318;5,13;14;31
