,X_MSE_AV_1,X_MAE_AV_1,Y_MSE_AV_1,Y_MAE_AV_1,x_test_1,y_test_1,dir_1
104,4.456,2.111,40.56,6.369,13.0,9.0,22.508
105,1.053,1.026,16.458,4.057,14.0,9.0,8.756
106,0.425,0.652,9.858,3.14,15.0,9.0,5.142
107,25.789,5.078,6.317,2.513,1.0,10.0,16.053
108,9.489,3.08,2.813,1.677,2.0,10.0,6.151
109,1.433,1.197,7.016,2.649,3.0,10.0,4.224
110,0.548,0.74,8.166,2.858,4.0,10.0,4.357
111,5.435,2.331,2.337,1.529,5.0,10.0,3.886
112,0.754,0.869,1.481,1.217,7.0,10.0,1.118
113,0.161,0.402,2.947,1.717,8.0,10.0,1.554
114,0.037,0.192,1.791,1.338,9.0,10.0,0.914
115,0.01,0.099,10.419,3.228,11.0,10.0,5.214
116,0.246,0.496,71.4,8.45,12.0,10.0,35.823
117,0.365,0.604,0.063,0.252,13.0,10.0,0.214
118,2.618,1.618,13.492,3.673,14.0,10.0,8.055
119,0.057,0.238,85.111,9.226,15.0,10.0,42.584
120,0.663,0.814,0.122,0.35,1.0,11.0,0.393
121,2.487,1.577,1.643,1.282,2.0,11.0,2.065
122,1.346,1.16,0.722,0.85,3.0,11.0,1.034
123,0.903,0.951,7.487,2.736,4.0,11.0,4.195
124,2.413,1.553,1.841,1.357,5.0,11.0,2.127
125,1.379,1.174,3.87,1.967,7.0,11.0,2.625
126,0.407,0.638,0.015,0.122,8.0,11.0,0.211
127,0.587,0.766,5.193,2.279,9.0,11.0,2.89
128,1.419,1.191,0.0,0.005,11.0,11.0,0.71
129,1.341,1.158,12.727,3.568,12.0,11.0,7.034
130,0.257,0.507,16.1,4.012,13.0,11.0,8.179
131,0.366,0.605,6.64,2.577,14.0,11.0,3.503
132,1.235,1.111,3.532,1.879,15.0,11.0,2.384
133,2.294,1.515,0.841,0.917,7.0,12.0,1.568
134,0.002,0.041,0.419,0.648,8.0,12.0,0.211
135,5.848,2.418,0.921,0.96,9.0,12.0,3.384
136,1.264,1.124,42.486,6.518,1.0,13.0,21.875
137,7.617,2.76,44.246,6.652,2.0,13.0,25.931
138,6.895,2.626,11.54,3.397,3.0,13.0,9.217
139,3.525,1.877,0.164,0.405,4.0,13.0,1.844
140,3.929,1.982,27.994,5.291,5.0,13.0,15.961
141,0.74,0.86,0.0,0.022,7.0,13.0,0.37
142,0.13,0.361,0.436,0.66,8.0,13.0,0.283
143,0.487,0.698,35.135,5.927,9.0,13.0,17.811
144,7.551,2.748,26.443,5.142,11.0,13.0,16.997
145,0.067,0.259,41.685,6.456,12.0,13.0,20.876
146,0.255,0.505,4.68,2.163,13.0,13.0,2.468
147,2.952,1.718,71.206,8.438,14.0,13.0,37.079
148,7.054,2.656,80.862,8.992,15.0,13.0,43.958
