,фаза 1-го луча,мощность 1-го луча,врем€ 1-го луча,AоD phi 1-го луча,AоD theta 1-го луча,AоA phi 1-го луча,Aој theta 1-го луча,фаза 2-го луча,мощность 2-го луча,врем€ 2-го луча,AоD phi 2-го луча,AоD theta 2-го луча,AоA phi 2-го луча,Aој theta 2-го луча,фаза 3-го луча,мощность 3-го луча,врем€ 3-го луча,AоD phi 3-го луча,AоD theta 3-го луча,AоA phi 3-го луча,Aој theta 3-го луча,фаза 4-го луча,мощность 4-го луча,врем€ 4-го луча,AоD phi 4-го луча,AоD theta 4-го луча,AоA phi 4-го луча,Aој theta 4-го луча,фаза 5-го луча,мощность 5-го луча,врем€ 5-го луча,AоD phi 5-го луча,AоD theta 5-го луча,AоA phi 5-го луча,Aој theta 5-го луча,фаза 6-го луча,мощность 6-го луча,врем€ 6-го луча,AоD phi 6-го луча,AоD theta 6-го луча,AоA phi 6-го луча,Aој theta 6-го луча,фаза 7-го луча,мощность 7-го луча,врем€ 7-го луча,AоD phi 7-го луча,AоD theta 7-го луча,AоA phi 7-го луча,Aој theta 7-го луча,фаза 8-го луча,мощность 8-го луча,врем€ 8-го луча,AоD phi 8-го луча,AоD theta 8-го луча,AоA phi 8-го луча,Aој theta 8-го луча,фаза 9-го луча,мощность 9-го луча,врем€ 9-го луча,AоD phi 9-го луча,AоD theta 9-го луча,AоA phi 9-го луча,Aој theta 9-го луча,фаза 10-го луча,мощность 10-го луча,врем€ 10-го луча,AоD phi 10-го луча,AоD theta 10-го луча,AоA phi 10-го луча,Aој theta 10-го луча,фаза 11-го луча,мощность 11-го луча,врем€ 11-го луча,AоD phi 11-го луча,AоD theta 11-го луча,AоA phi 11-го луча,Aој theta 11-го луча,фаза 12-го луча,мощность 12-го луча,врем€ 12-го луча,AоD phi 12-го луча,AоD theta 12-го луча,AоA phi 12-го луча,Aој theta 12-го луча,фаза 13-го луча,мощность 13-го луча,врем€ 13-го луча,AоD phi 13-го луча,AоD theta 13-го луча,AоA phi 13-го луча,Aој theta 13-го луча,фаза 14-го луча,мощность 14-го луча,врем€ 14-го луча,AоD phi 14-го луча,AоD theta 14-го луча,AоA phi 14-го луча,Aој theta 14-го луча,фаза 15-го луча,мощность 15-го луча,врем€ 15-го луча,AоD phi 15-го луча,AоD theta 15-го луча,AоA phi 15-го луча,Aој theta 15-го луча,x,y,z,N
188,129.28,-74.586,4.3619e-08,-57.537,4.4288,122.48,-4.35,55.49,-78.247,4.4747e-08,-58.452,4.243,-121.55,-4.2999,-126.25,-78.895,6.2136e-08,-36.232,3.0318,143.74,-3.1,-11.574,-79.431,5.6902e-08,49.807,3.4888,49.76,-3.35,8.57,-83.272,5.7925e-08,50.687,3.3165,-50.612,-3.3,147.07,-83.655,7.3308e-08,-30.104,2.6302,30.056,-2.6,-117.2,-83.687,4.3639e-08,-55.839,4.3649,120.63,-4.4,100.69,-85.027,6.2933e-08,-37.239,3.0148,-142.77,-3.0501,44.861,-86.39,8.0264e-08,-73.041,2.3164,106.92,-2.4,-10.295,-86.464,4.4003e-08,-57.609,9.1165,122.7,7.6918,106.32,-86.51,5.2847e-08,124.98,3.8446,124.67,-3.6,68.127,-86.57,4.4172e-08,-56.97,14.118,122.0,4.025,-42.431,-86.972,8.7521e-08,65.682,1.8226,65.173,-2.2,-52.905,-87.597,4.5256e-08,-109.98,3.9827,126.82,-4.25,-32.305,-88.152,5.9017e-08,-120.13,3.112,120.67,-3.25,1.0,11.0,1.5,2
189,-86.477,-74.308,4.97e-08,-47.717,3.8458,47.733,-3.85,-113.34,-75.514,5.3241e-08,50.943,3.4594,51.126,-3.6,-171.72,-75.518,4.7107e-08,-128.73,4.1161,128.65,-4.05,-2.802,-78.644,5.9483e-08,-38.166,3.2513,141.85,-3.2,-154.37,-78.648,5.1065e-08,-46.04,3.7376,46.074,-3.75,-166.82,-79.146,4.8154e-08,-127.63,4.0889,-127.67,-3.9501,-111.5,-79.374,5.4284e-08,52.014,3.9193,-52.001,-3.5,-83.575,-80.76,4.97e-08,-47.936,3.8455,47.582,-3.85,44.003,-84.044,4.7461e-08,-128.8,7.8707,128.5,8.8459,-165.94,-84.242,6.0315e-08,-39.154,3.221,-140.84,-3.15,-165.49,-85.287,4.7619e-08,-129.27,13.089,128.15,3.725,124.09,-85.535,4.1955e-08,-63.433,4.5727,120.61,-4.55,-40.203,-85.659,5.3755e-08,52.141,12.816,50.4,3.0719,-157.87,-86.161,6.5009e-08,40.313,2.791,141.26,-2.95,-47.681,-86.386,6.2149e-08,-34.077,2.9942,143.13,-3.1,2.0,11.0,1.5,2
190,-31.886,-74.442,4.7526e-08,-50.729,3.9741,50.702,-4.05,107.51,-76.503,5.2826e-08,128.18,3.9606,128.33,-3.6,115.58,-77.516,5.9483e-08,-38.174,3.2856,141.85,-3.2,-25.724,-78.371,4.8563e-08,-51.744,3.9157,-51.693,-3.95,108.19,-80.104,5.3877e-08,127.61,3.5428,-127.43,-3.5501,-54.585,-80.711,5.1997e-08,-134.98,3.6196,135.01,-3.7,-174.17,-82.481,6.1763e-08,73.962,2.9951,105.43,-3.1,-41.291,-83.074,6.0315e-08,-39.152,3.2683,-140.84,-3.15,-72.807,-84.087,6.1416e-08,44.672,3.2733,134.97,-3.1,-79.48,-84.584,5.2828e-08,130.6,3.9454,128.18,-3.6,-4.266,-84.61,5.3146e-08,128.41,6.7859,128.05,8.7597,42.477,-85.033,5.2947e-08,-133.97,3.6439,-133.98,-3.6,-85.261,-85.43,5.9486e-08,-37.582,3.2852,141.25,-3.2,-151.29,-85.638,5.323e-08,128.37,10.421,128.0,3.725,97.884,-85.813,5.7289e-08,-72.682,3.3105,106.61,-3.35,3.0,11.0,1.5,2
191,113.59,-74.734,5.0605e-08,-74.64,3.7266,105.31,-3.8,41.389,-77.034,4.5492e-08,73.016,4.2638,107.11,-4.2,24.535,-80.778,5.4403e-08,-137.51,3.5457,137.48,-3.5,-66.479,-81.373,5.0605e-08,-74.982,3.7265,105.41,-3.8,86.112,-81.473,5.7054e-08,76.515,3.3779,103.55,-3.35,-176.62,-81.924,4.6766e-08,73.451,3.9685,-106.63,-4.1001,-162.22,-83.568,7.9147e-08,-152.33,2.4954,152.36,-2.4,-158.52,-83.768,4.5495e-08,72.018,4.2599,106.61,-4.2,103.95,-84.135,5.9108e-08,47.04,3.0571,132.69,-3.25,163.33,-84.904,6.4852e-08,-145.38,2.9431,34.471,-2.95,159.97,-85.449,5.5311e-08,-136.47,3.4722,-136.47,-3.4501,-117.39,-85.564,5.189e-08,-74.982,3.6475,-104.89,-3.7,-138.73,-85.839,3.9411e-08,-58.671,4.8725,106.61,-4.85,-166.24,-86.532,7.4965e-08,-117.72,2.5512,116.74,-2.55,172.55,-86.791,5.6923e-08,-42.041,3.4348,141.27,-3.35,4.0,11.0,1.5,2
194,77.142,-60.951,3.6994e-08,-84.806,5.1732,95.194,-5.1732,-57.45,-63.236,3.8178e-08,-105.31,5.0372,105.23,-5.0,175.82,-66.371,3.8318e-08,-84.987,4.9939,-95.017,-5.0,144.21,-67.129,4.0442e-08,-65.56,4.7184,65.55,-4.75,80.615,-67.888,3.9462e-08,-104.71,4.8466,-104.76,-4.8502,123.7,-69.712,4.3619e-08,-122.27,4.3011,57.494,-4.4,-10.824,-70.795,4.1657e-08,-66.31,4.5881,-66.329,-4.6,3.214,-71.93,5.6902e-08,-40.212,3.3962,40.244,-3.35,49.195,-73.491,4.4747e-08,-121.53,4.425,-58.446,-4.2499,19.457,-73.843,4.7526e-08,-50.712,4.074,129.29,-4.0,-52.154,-76.307,5.1998e-08,-134.94,3.4588,135.01,-3.7,56.583,-76.54,1.245e-07,82.522,1.5082,82.655,-1.55,9.665,-76.687,1.2351e-07,88.379,1.5432,91.508,-1.55,-123.97,-77.034,1.2387e-07,94.688,1.5291,94.61,-1.55,58.229,-77.517,1.2553e-07,100.22,1.6513,79.552,-1.5,7.0,11.0,1.5,10
195,-152.66,-60.916,3.6843e-08,-90.0,5.1944,90.0,-5.1944,164.24,-61.451,3.9185e-08,-109.99,4.8665,109.98,-4.9,149.51,-64.906,3.9185e-08,-70.053,4.8666,69.981,-4.9,-26.787,-65.814,4.0437e-08,-109.31,4.7134,-109.36,-4.7499,-59.12,-66.442,3.8172e-08,-90.0,5.0133,-89.997,-5.0001,-41.221,-69.025,4.0437e-08,-70.649,4.7134,-70.681,-4.7499,7.228,-71.942,5.4403e-08,-137.53,3.5915,137.48,-3.5,-27.638,-75.474,4.5492e-08,-126.02,4.2196,53.97,-4.2,-27.691,-75.484,4.5492e-08,-53.931,4.2196,126.01,-4.2,48.531,-76.694,1.2346e-07,89.922,1.5448,89.958,-1.55,-35.938,-77.147,1.2418e-07,96.189,1.5192,96.16,-1.55,99.936,-77.722,1.2631e-07,77.835,1.4033,102.21,-1.55,-23.251,-79.258,3.9202e-08,-111.8,4.859,108.43,-4.9,-58.694,-79.713,4.6575e-08,-54.984,4.1279,-125.07,-4.1,-58.784,-79.724,4.6575e-08,-125.07,4.1279,-54.944,-4.1,8.0,11.0,1.5,10
198,49.943,-72.304,3.8178e-08,-105.18,5.0369,74.709,-5.0,-178.97,-77.393,3.9462e-08,-104.74,4.8466,-75.256,-4.85,-146.15,-78.116,3.818e-08,-106.39,5.0783,74.96,-5.0,-120.85,-80.132,4.9363e-08,118.32,3.5703,118.3,-3.9,-19.502,-83.623,3.9465e-08,-106.39,4.8401,-75.557,-4.85,112.44,-83.81,5.0539e-08,117.46,3.5899,-117.59,-3.8001,128.58,-84.521,5.723e-08,-85.008,3.3174,75.003,-3.35,-170.89,-84.523,5.6902e-08,130.19,3.4887,49.76,-3.35,-78.582,-85.195,6.7624e-08,-32.919,2.8929,147.1,-2.8,176.93,-85.612,7.0445e-08,-149.65,3.2109,148.54,-2.7,-152.66,-85.638,5.7729e-08,-106.39,3.4213,76.402,-3.3,-132.34,-86.246,6.2276e-08,99.253,3.4248,80.739,-3.05,-73.467,-86.286,6.1416e-08,45.11,3.2746,44.991,-3.1,-163.29,-87.112,7.9147e-08,-27.636,2.4649,27.649,-2.4,146.1,-87.347,8.1321e-08,-57.813,2.3534,57.724,-2.35,11.0,11.0,1.5,8
199,-105.04,-74.875,4.5492e-08,-126.07,4.2196,126.01,-4.2,-59.558,-75.846,3.9185e-08,-109.94,4.8631,69.981,-4.9,41.562,-77.026,4.5492e-08,106.78,4.2637,72.871,-4.2,-142.63,-78.764,4.6575e-08,-125.02,4.1279,-125.07,-4.1,-51.194,-80.173,4.0443e-08,-114.44,4.7026,65.55,-4.75,104.35,-80.507,4.0437e-08,-109.36,4.7083,-70.681,-4.7499,24.507,-80.776,5.4403e-08,-42.523,3.5457,42.504,-3.5,-176.87,-81.938,4.6766e-08,106.77,3.9687,-73.391,-4.0999,90.954,-83.492,3.9207e-08,-107.7,4.8536,68.325,-4.9,2.729,-84.931,4.5532e-08,-131.42,4.2072,124.91,-4.2,-144.5,-86.034,7.3308e-08,-149.96,2.7008,149.93,-2.6,119.38,-86.045,5.9108e-08,47.77,3.0548,47.251,-3.25,-139.67,-86.568,7.6211e-08,-29.044,2.5427,28.752,-2.5,129.97,-87.512,4.0443e-08,-114.06,4.7031,65.199,-4.75,-94.045,-87.551,4.0448e-08,-107.7,4.7019,-69.527,-4.75,12.0,11.0,1.5,8
200,-31.931,-74.442,4.7526e-08,-129.29,4.074,129.29,-4.0,43.62,-74.853,5.6902e-08,-139.79,3.3962,40.244,-3.35,-26.045,-78.375,4.8563e-08,-128.32,3.9157,-128.27,-3.95,-153.51,-79.884,5.7771e-08,-138.75,3.3435,-41.246,-3.3,-54.535,-80.714,5.1998e-08,-44.956,3.7529,45.016,-3.65,-148.23,-80.914,4.658e-08,110.9,4.1852,68.951,-4.1,140.55,-83.749,5.3947e-08,123.45,3.4823,-123.92,-3.5501,96.03,-84.055,9.382e-08,-80.989,1.9806,154.57,-2.05,42.44,-85.034,5.2947e-08,-45.936,3.644,-46.056,-3.6,-174.41,-85.427,4.7875e-08,114.88,3.9379,65.234,-4.0,22.368,-85.474,4.7825e-08,111.45,3.9927,-69.618,-4.0001,-1.232,-85.852,6.3247e-08,-102.8,3.0974,123.64,-3.0,-137.98,-85.967,5.6902e-08,49.807,3.4888,49.76,-3.35,126.27,-85.991,5.7743e-08,-137.42,20.212,39.5,2.175,126.38,-86.099,5.6969e-08,-145.78,3.3877,41.546,-3.35,13.0,11.0,1.5,8
201,-86.429,-74.308,4.97e-08,-132.27,3.8458,132.27,-3.85,-37.884,-78.344,5.0693e-08,-131.23,3.7321,-131.27,-3.8001,-30.62,-79.566,5.481e-08,127.64,3.358,127.56,-3.5,131.55,-80.777,4.97e-08,-47.701,3.8417,47.733,-3.85,98.185,-83.275,7.0444e-08,-31.587,2.8262,31.41,-2.7,-47.049,-83.363,5.5872e-08,126.49,3.0828,-126.75,-3.4501,153.21,-83.943,9.3349e-08,-82.884,2.0377,156.63,-2.05,-63.498,-83.969,5.025e-08,-131.22,13.88,133.0,3.225,-166.07,-84.241,6.0315e-08,-140.89,3.0959,-39.175,-3.1999,-172.29,-84.857,5.0693e-08,-48.752,3.6642,-48.741,-3.8,-3.005,-85.612,7.0444e-08,-148.5,2.7632,31.41,-2.7,-137.78,-86.129,5.481e-08,52.535,3.3577,52.423,-3.5,0.39,-88.118,5.1232e-08,-130.18,13.602,-132.0,3.1751,-19.569,-88.728,5.0041e-08,-47.739,7.1474,48.0,9.4967,-124.57,-89.218,6.0138e-08,-140.61,16.161,37.65,2.225,14.0,11.0,1.5,8
