,X_MSE_AV_3,X_MAE_AV_3,Y_MSE_AV_3,Y_MAE_AV_3,x_test_3,y_test_3,dir_3
0,24.518,4.952,535.227,23.135,0.0,-0.0,279.872
1,2.406,1.551,102.463,10.122,1.0,-0.0,52.435
2,0.973,0.987,1.646,1.283,2.0,-0.0,1.309
3,228.928,15.13,629.509,25.09,3.0,-0.0,429.218
4,3.677,1.918,238.88,15.456,4.0,-0.0,121.279
5,0.373,0.611,19.713,4.44,5.0,-0.0,10.043
6,0.146,0.382,62.229,7.889,7.0,-0.0,31.188
7,0.061,0.246,1.952,1.397,8.0,-0.0,1.006
8,1.434,1.198,8.156,2.856,9.0,-0.0,4.795
9,5.158,2.271,7.461,2.731,11.0,-0.0,6.309
10,0.346,0.588,18.834,4.34,12.0,-0.0,9.59
11,0.582,0.763,5.903,2.43,13.0,-0.0,3.243
12,0.083,0.288,14.122,3.758,14.0,-0.0,7.102
13,6.472,2.544,54.49,7.382,15.0,-0.0,30.481
14,4.74,2.177,203.967,14.282,0.0,1.0,104.354
15,21.831,4.672,18.897,4.347,1.0,1.0,20.364
16,7.822,2.797,26.535,5.151,2.0,1.0,17.179
17,4.03,2.007,7.366,2.714,3.0,1.0,5.698
18,13.522,3.677,26.719,5.169,4.0,1.0,20.12
19,3.358,1.832,48.953,6.997,5.0,1.0,26.155
20,0.018,0.135,0.124,0.352,7.0,1.0,0.071
21,12.573,3.546,19.023,4.361,8.0,1.0,15.798
22,1.615,1.271,4.26,2.064,9.0,1.0,2.938
23,44.588,6.677,86.13,9.281,11.0,1.0,65.359
24,1.381,1.175,6.008,2.451,12.0,1.0,3.694
25,7.268,2.696,0.695,0.834,13.0,1.0,3.982
26,0.586,0.766,1.989,1.41,14.0,1.0,1.288
27,11.579,3.403,9.06,3.01,15.0,1.0,10.319
28,1.522,1.234,146.174,12.09,0.0,2.0,73.848
29,48.158,6.94,3.653,1.911,1.0,2.0,25.906
30,11.995,3.463,1.205,1.098,2.0,2.0,6.6
31,0.558,0.747,26.834,5.18,3.0,2.0,13.696
32,27.962,5.288,19.567,4.423,4.0,2.0,23.764
33,2.928,1.711,0.156,0.395,5.0,2.0,1.542
34,0.251,0.501,4.297,2.073,7.0,2.0,2.274
35,1.393,1.18,1.836,1.355,8.0,2.0,1.614
36,0.04,0.199,0.125,0.354,9.0,2.0,0.082
37,1.696,1.302,0.456,0.675,11.0,2.0,1.076
38,6.508,2.551,1.386,1.177,12.0,2.0,3.947
39,2.544,1.595,9.848,3.138,13.0,2.0,6.196
40,9.551,3.09,2.052,1.432,14.0,2.0,5.801
41,11.854,3.443,28.237,5.314,15.0,2.0,20.045
42,31.73,5.633,1.634,1.278,0.0,3.0,16.682
43,80.843,8.991,14.697,3.834,1.0,3.0,47.77
44,0.762,0.873,30.404,5.514,2.0,3.0,15.583
45,10.223,3.197,70.175,8.377,3.0,3.0,40.199
46,13.208,3.634,48.237,6.945,4.0,3.0,30.723
47,1.126,1.061,35.033,5.919,5.0,3.0,18.08
48,17.918,4.233,19.688,4.437,7.0,3.0,18.803
49,0.042,0.204,0.034,0.184,8.0,3.0,0.038
50,0.464,0.681,1.047,1.023,9.0,3.0,0.756
51,0.131,0.363,0.147,0.383,11.0,3.0,0.139
52,0.106,0.326,14.822,3.85,12.0,3.0,7.464
53,1.29,1.136,1.919,1.385,13.0,3.0,1.604
54,0.431,0.657,0.197,0.443,14.0,3.0,0.314
55,1.712,1.308,0.001,0.028,15.0,3.0,0.856
56,7.891,2.809,107.255,10.356,0.0,4.0,57.573
57,33.691,5.804,1.396,1.181,1.0,4.0,17.544
58,13.928,3.732,2.61,1.615,2.0,4.0,8.269
59,1.893,1.376,105.538,10.273,3.0,4.0,53.716
60,0.002,0.049,0.011,0.106,4.0,4.0,0.007
61,2.494,1.579,32.634,5.713,5.0,4.0,17.564
62,7.825,2.797,3.394,1.842,7.0,4.0,5.609
63,0.433,0.658,7.963,2.822,8.0,4.0,4.198
64,0.567,0.753,29.258,5.409,9.0,4.0,14.913
65,0.851,0.923,4.157,2.039,11.0,4.0,2.504
66,0.859,0.927,15.724,3.965,12.0,4.0,8.292
67,1.412,1.188,2.585,1.608,13.0,4.0,1.999
68,1.103,1.05,2.097,1.448,14.0,4.0,1.6
69,22.01,4.691,0.579,0.761,15.0,4.0,11.294
70,55.691,7.463,760.269,27.573,0.0,5.0,407.98
71,16.566,4.07,184.908,13.598,1.0,5.0,100.737
72,27.279,5.223,166.805,12.915,2.0,5.0,97.042
73,10.431,3.23,219.301,14.809,3.0,5.0,114.866
74,20.876,4.569,167.582,12.945,4.0,5.0,94.229
75,26.418,5.14,65.341,8.083,5.0,5.0,45.88
76,0.044,0.211,30.922,5.561,7.0,5.0,15.483
77,0.351,0.593,61.557,7.846,8.0,5.0,30.954
78,35.325,5.943,8.825,2.971,9.0,5.0,22.075
79,1.827,1.352,6.541,2.557,11.0,5.0,4.184
80,0.631,0.794,2.395,1.548,12.0,5.0,1.513
81,0.404,0.636,70.87,8.418,13.0,5.0,35.637
82,35.691,5.974,0.0,0.018,14.0,5.0,17.846
83,52.211,7.226,22.589,4.753,15.0,5.0,37.4
84,0.048,0.219,1.196,1.094,7.0,6.0,0.622
85,4.197,2.049,8.435,2.904,8.0,6.0,6.316
86,2.858,1.69,0.289,0.537,9.0,6.0,1.573
87,14.744,3.84,112.156,10.59,0.0,7.0,63.45
88,0.809,0.899,22.254,4.717,1.0,7.0,11.531
89,4.054,2.013,25.654,5.065,2.0,7.0,14.854
90,2.624,1.62,3.221,1.795,3.0,7.0,2.922
91,3.959,1.99,1.397,1.182,4.0,7.0,2.678
92,0.291,0.539,6.42,2.534,5.0,7.0,3.355
93,4.406,2.099,3.377,1.838,7.0,7.0,3.892
94,1.297,1.139,3.897,1.974,8.0,7.0,2.597
95,1.976,1.406,3.417,1.848,9.0,7.0,2.696
96,17.133,4.139,0.043,0.207,11.0,7.0,8.588
97,0.0,0.02,34.766,5.896,12.0,7.0,17.383
98,45.846,6.771,62.289,7.892,13.0,7.0,54.068
99,0.504,0.71,140.235,11.842,14.0,7.0,70.37
100,0.274,0.524,2.842,1.686,15.0,7.0,1.558
101,2.405,1.551,0.556,0.745,0.0,8.0,1.481
102,0.216,0.465,3.237,1.799,1.0,8.0,1.727
103,30.969,5.565,31.26,5.591,2.0,8.0,31.115
104,9.951,3.155,1.639,1.28,3.0,8.0,5.795
105,25.003,5.0,0.793,0.891,4.0,8.0,12.898
106,0.021,0.146,22.859,4.781,5.0,8.0,11.44
107,0.807,0.898,1.353,1.163,7.0,8.0,1.08
108,4.141,2.035,8.245,2.871,8.0,8.0,6.193
109,0.74,0.86,0.006,0.075,9.0,8.0,0.373
110,1.197,1.094,0.79,0.889,11.0,8.0,0.993
111,38.547,6.209,25.385,5.038,12.0,8.0,31.966
112,0.718,0.847,0.091,0.301,13.0,8.0,0.404
113,9.927,3.151,6.326,2.515,14.0,8.0,8.127
114,3.347,1.83,10.368,3.22,15.0,8.0,6.858
115,7.023,2.65,27.536,5.247,0.0,9.0,17.279
116,49.486,7.035,7.432,2.726,1.0,9.0,28.459
117,65.553,8.096,21.544,4.642,2.0,9.0,43.548
118,38.678,6.219,111.846,10.576,3.0,9.0,75.262
119,0.156,0.395,0.055,0.234,4.0,9.0,0.105
120,0.402,0.634,0.043,0.208,5.0,9.0,0.222
121,15.879,3.985,3.065,1.751,7.0,9.0,9.472
122,10.144,3.185,0.1,0.316,8.0,9.0,5.122
123,0.167,0.408,0.31,0.557,9.0,9.0,0.239
124,2.806,1.675,0.34,0.583,11.0,9.0,1.573
125,9.084,3.014,33.036,5.748,12.0,9.0,21.06
126,26.631,5.16,64.996,8.062,13.0,9.0,45.813
127,1.056,1.028,28.46,5.335,14.0,9.0,14.758
128,7.098,2.664,0.002,0.04,15.0,9.0,3.55
129,44.48,6.669,20.758,4.556,0.0,10.0,32.619
130,57.666,7.594,25.218,5.022,1.0,10.0,41.442
131,15.083,3.884,1.263,1.124,2.0,10.0,8.173
132,15.067,3.882,13.382,3.658,3.0,10.0,14.225
133,0.597,0.773,7.136,2.671,4.0,10.0,3.866
134,0.227,0.476,7.577,2.753,5.0,10.0,3.902
135,0.022,0.15,0.005,0.074,7.0,10.0,0.014
136,0.028,0.167,0.171,0.414,8.0,10.0,0.1
137,1.861,1.364,0.115,0.339,9.0,10.0,0.988
138,0.352,0.593,137.183,11.713,11.0,10.0,68.767
139,2.255,1.502,0.662,0.814,12.0,10.0,1.458
140,0.558,0.747,0.04,0.2,13.0,10.0,0.299
141,3.192,1.787,2.123,1.457,14.0,10.0,2.658
142,17.771,4.216,2.15,1.466,15.0,10.0,9.961
143,54.554,7.386,28.573,5.345,0.0,11.0,41.564
144,9.801,3.131,19.275,4.39,1.0,11.0,14.538
145,8.209,2.865,36.542,6.045,2.0,11.0,22.375
146,3.813,1.953,0.355,0.595,3.0,11.0,2.084
147,6.588,2.567,5.796,2.407,4.0,11.0,6.192
148,0.306,0.553,9.738,3.121,5.0,11.0,5.022
149,0.45,0.671,6.424,2.535,7.0,11.0,3.437
150,0.812,0.901,11.471,3.387,8.0,11.0,6.141
151,0.893,0.945,17.125,4.138,9.0,11.0,9.009
152,21.675,4.656,27.085,5.204,11.0,11.0,24.38
153,1.188,1.09,59.957,7.743,12.0,11.0,30.572
154,1.357,1.165,13.62,3.691,13.0,11.0,7.489
155,0.326,0.571,3.441,1.855,14.0,11.0,1.884
156,2.813,1.677,20.261,4.501,15.0,11.0,11.537
157,1.702,1.305,4.679,2.163,7.0,12.0,3.19
158,1.127,1.062,10.041,3.169,8.0,12.0,5.584
159,4.888,2.211,2.383,1.544,9.0,12.0,3.635
160,54.451,7.379,609.203,24.682,0.0,13.0,331.827
161,96.207,9.809,89.11,9.44,1.0,13.0,92.659
162,49.876,7.062,4.106,2.026,2.0,13.0,26.991
163,1.03,1.015,154.755,12.44,3.0,13.0,77.893
164,1.319,1.148,25.402,5.04,4.0,13.0,13.36
165,4.566,2.137,114.315,10.692,5.0,13.0,59.44
166,0.078,0.28,8.991,2.999,7.0,13.0,4.535
167,4.498,2.121,1.221,1.105,8.0,13.0,2.859
168,4.984,2.233,5.149,2.269,9.0,13.0,5.067
169,17.41,4.173,47.607,6.9,11.0,13.0,32.508
170,3.483,1.866,31.603,5.622,12.0,13.0,17.543
171,77.243,8.789,17.208,4.148,13.0,13.0,47.226
172,50.322,7.094,52.642,7.256,14.0,13.0,51.482
173,104.067,10.201,16.827,4.102,15.0,13.0,60.447
174,26.856,5.182,185.208,13.609,0.0,14.0,106.032
175,6.331,2.516,8.556,2.925,1.0,14.0,7.443
176,17.771,4.216,18.695,4.324,2.0,14.0,18.233
177,0.721,0.849,4.979,2.231,3.0,14.0,2.85
178,0.213,0.461,78.471,8.858,4.0,14.0,39.342
179,4.788,2.188,0.159,0.399,5.0,14.0,2.474
180,2.247,1.499,9.092,3.015,7.0,14.0,5.669
181,0.036,0.19,2.371,1.54,8.0,14.0,1.204
182,0.105,0.324,0.386,0.621,9.0,14.0,0.246
183,4.51,2.124,3.448,1.857,11.0,14.0,3.979
184,2.227,1.492,16.55,4.068,12.0,14.0,9.389
185,30.858,5.555,35.912,5.993,13.0,14.0,33.385
186,125.426,11.199,53.482,7.313,14.0,14.0,89.454
187,49.165,7.012,0.254,0.504,15.0,14.0,24.709
188,10.506,3.241,52.347,7.235,0.0,15.0,31.426
189,9.073,3.012,29.011,5.386,1.0,15.0,19.042
190,3.572,1.89,15.082,3.884,2.0,15.0,9.327
191,1.591,1.261,19.318,4.395,3.0,15.0,10.454
192,0.007,0.083,20.724,4.552,4.0,15.0,10.366
193,1.984,1.409,4.464,2.113,5.0,15.0,3.224
194,7.881,2.807,4.867,2.206,7.0,15.0,6.374
195,1.954,1.398,0.64,0.8,8.0,15.0,1.297
196,0.5,0.707,5.549,2.356,9.0,15.0,3.024
197,18.929,4.351,2.313,1.521,11.0,15.0,10.621
198,1.889,1.374,24.089,4.908,12.0,15.0,12.989
199,11.195,3.346,0.647,0.804,13.0,15.0,5.921
200,8.799,2.966,7.186,2.681,14.0,15.0,7.992
201,7.2,2.683,9.491,3.081,15.0,15.0,8.346
202,132.25,11.5,710.015,26.646,0.0,16.0,421.133
203,2.469,1.571,0.585,0.765,1.0,16.0,1.527
204,40.862,6.392,5.931,2.435,2.0,16.0,23.397
205,26.783,5.175,0.046,0.215,3.0,16.0,13.414
206,1.347,1.161,0.993,0.996,4.0,16.0,1.17
207,4.056,2.014,1.684,1.298,5.0,16.0,2.87
208,1.393,1.18,3.827,1.956,7.0,16.0,2.61
209,1.875,1.369,0.192,0.438,8.0,16.0,1.034
210,1.152,1.073,12.376,3.518,9.0,16.0,6.764
211,50.036,7.074,11.997,3.464,11.0,16.0,31.017
212,3.491,1.868,18.247,4.272,12.0,16.0,10.869
213,0.098,0.314,15.499,3.937,13.0,16.0,7.799
214,8.601,2.933,0.694,0.833,14.0,16.0,4.647
215,64.808,8.05,269.987,16.431,15.0,16.0,167.398
216,0.014,0.118,151.178,12.295,0.0,17.0,75.596
217,42.936,6.553,33.866,5.819,1.0,17.0,38.401
218,2.554,1.598,32.431,5.695,2.0,17.0,17.493
219,2.809,1.676,33.626,5.799,3.0,17.0,18.217
220,7.112,2.667,1.17,1.082,4.0,17.0,4.141
221,0.042,0.206,1.312,1.145,5.0,17.0,0.677
222,0.101,0.318,2.975,1.725,7.0,17.0,1.538
223,1.742,1.32,4.383,2.094,8.0,17.0,3.062
224,10.669,3.266,25.191,5.019,9.0,17.0,17.93
225,8.637,2.939,9.177,3.029,11.0,17.0,8.907
226,29.687,5.449,134.082,11.579,12.0,17.0,81.885
